09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.08 1.25 0.00
0.92 1.79 1.46
3.79 0.92 0.12
1.59 0.13 0.00
0.08 0.13 0.00
0.96 0.25 1.76
1.09 0.13 3.05
0.92 0.13 3.38
0.84 0.25 3.26
1.34 0.17 3.30
0.63 0.54 3.35
0.38 1.04 4.59
0.59 0.92 4.51
0.75 0.79 4.39
0.58 1.21 4.05
0.54 0.96 5.10
0.67 1.09 4.55
0.71 1.09 3.88
1.25 1.00 4.68
0.75 0.92 5.93
0.58 1.17 6.98
0.50 1.21 8.10
0.58 1.13 7.80
0.79 1.00 8.31
0.79 1.05 7.44
0.59 0.92 7.82
0.67 0.96 8.14
0.67 1.09 8.41
0.54 0.92 7.49
0.54 1.00 7.86
0.54 0.84 7.32
0.63 1.33 8.55
0.59 0.92 7.65
0.75 0.92 7.56
1.21 1.00 7.23
0.50 1.04 8.93
0.67 1.00 6.39
0.63 1.04 7.77
0.59 0.92 7.61
0.63 0.96 8.18
0.83 1.13 7.75
0.54 0.92 8.29
0.67 0.84 8.11
0.63 1.05 7.44
0.71 0.88 8.60
0.63 1.00 8.56
0.63 0.92 7.10
0.50 1.13 7.78
0.63 0.92 8.65
0.79 0.92 6.43
0.67 1.04 7.48
0.54 1.00 7.85
0.75 0.79 8.27
0.67 1.13 8.52
0.54 1.00 8.77
0.58 1.00 7.43
0.59 1.09 7.57
0.54 0.92 7.97
0.63 0.96 8.82
0.58 1.17 7.39
0.46 1.21 6.93
0.67 1.00 8.13
0.59 1.13 8.73
0.58 0.92 8.73
0.71 0.79 7.48
0.63 1.17 7.30
1.09 1.17 8.73
0.67 1.29 8.48
0.54 1.25 6.98
0.63 1.13 6.77
0.59 1.25 8.52
0.63 1.21 7.85
0.67 1.05 7.40
0.67 1.13 6.93
0.71 1.34 7.18
0.71 1.13 7.64
0.75 1.17 7.22
0.58 1.17 7.39
0.75 1.21 8.23
0.54 1.34 7.98
0.75 1.00 7.65
0.79 0.92 7.15
0.67 1.38 8.43
0.59 1.21 8.11
0.71 1.00 7.57
0.63 1.21 6.86
0.63 1.25 8.60
0.75 1.09 8.14
0.67 1.00 6.90
0.71 1.34 7.23
0.58 1.13 8.73
0.83 1.00 6.13
0.71 1.17 6.39
0.54 1.00 6.94
0.59 0.92 5.61
0.63 1.34 6.22
0.50 1.09 7.10
0.63 1.21 6.90
0.54 1.34 6.23
0.88 0.88 3.34
1.17 0.50 2.80
1.54 0.50 2.63
1.25 0.33 3.26
1.13 0.79 3.09
1.00 0.42 3.18
1.04 0.50 3.13
1.38 0.58 2.92
1.09 0.42 3.05
1.09 0.42 2.93
1.25 0.50 3.93
1.09 0.46 4.05
1.13 0.50 4.01
1.21 0.54 4.09
1.09 0.54 2.88
1.09 0.50 3.97
1.17 0.54 3.97
1.09 0.42 4.01
0.96 0.54 4.14
1.17 0.54 3.96
1.04 0.50 4.05
1.09 0.67 4.01
1.00 0.58 2.96
0.96 0.67 3.21
1.05 0.46 3.09
0.96 0.54 3.00
4.00 0.04 0.00
1.54 0.13 0.00
