09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.29 0.84 4.22
0.38 0.88 4.67
0.33 0.75 4.47
0.33 0.88 4.30
0.25 0.84 4.77
0.33 0.71 4.30
0.33 0.79 4.68
0.25 0.96 4.38
0.33 0.92 4.63
0.33 0.96 4.38
0.33 0.75 4.26
0.29 0.79 4.64
0.33 0.71 4.56
0.29 0.96 4.51
0.25 0.75 4.43
0.29 0.96 4.47
0.46 0.75 4.55
0.33 0.67 4.44
0.29 0.63 4.69
0.38 0.67 4.14
0.25 0.84 4.60
0.33 0.79 4.22
0.33 0.75 4.39
0.25 0.71 4.73
0.25 0.84 4.34
0.29 0.96 4.67
0.29 0.84 4.30
0.25 0.75 4.90
0.25 0.67 4.35
0.21 0.79 4.27
0.29 0.96 4.80
0.29 0.84 4.26
0.33 0.75 4.76
0.25 0.79 4.39
0.13 0.84 4.73
0.21 0.88 4.31
0.29 0.96 4.67
0.21 0.67 4.52
0.29 0.75 4.31
0.25 0.84 4.77
0.29 0.71 4.31
0.13 0.75 4.69
0.29 0.84 4.51
0.29 0.92 4.59
0.25 0.79 4.35
0.34 0.63 4.36
0.33 0.67 4.77
0.29 0.88 4.26
0.25 0.96 4.67
0.42 0.88 4.42
0.21 0.88 4.68
0.29 0.75 4.30
0.29 0.96 4.67
0.25 0.71 4.52
0.33 0.84 4.26
0.29 0.92 4.76
0.29 0.79 4.34
0.25 0.71 4.81
0.25 0.92 4.39
0.25 0.79 4.68
0.25 1.00 4.30
0.33 0.96 4.59
0.33 0.67 4.51
0.38 0.83 4.34
0.21 0.92 4.77
0.33 0.71 4.39
0.29 0.63 4.69
0.29 0.92 4.55
0.29 0.92 4.67
0.29 0.63 4.35
0.29 0.84 4.47
0.21 0.75 4.68
0.21 0.75 4.39
0.38 0.96 4.84
0.38 0.92 4.30
0.29 1.00 4.62
0.25 0.84 4.39
0.21 0.92 4.80
0.38 0.75 4.34
0.25 0.92 4.59
0.38 0.79 4.51
0.25 0.88 4.51
0.29 0.79 4.80
0.25 0.79 4.34
0.25 0.75 4.85
0.25 0.71 4.31
0.25 0.71 4.76
0.33 0.75 4.47
0.29 0.92 4.67
0.38 0.83 4.30
0.25 1.00 4.67
0.33 0.71 4.51
0.33 0.79 4.43
0.29 0.63 4.82
0.33 0.71 4.30
0.29 0.88 4.71
0.33 0.79 4.35
0.29 0.63 4.89
0.29 0.67 4.52
0.46 0.63 4.76
0.21 0.67 4.52
0.33 0.63 4.76
0.25 0.88 4.63
0.25 0.75 4.76
0.25 0.79 4.43
0.29 0.63 4.73
0.29 0.67 4.35
0.21 0.92 4.93
0.21 0.79 4.31
0.29 0.75 4.81
0.33 0.96 4.42
0.38 0.63 4.31
0.25 0.96 4.97
0.25 0.88 4.30
0.38 0.79 4.68
0.29 0.71 4.43
0.38 0.71 4.39
0.38 0.88 4.42
0.42 0.63 3.80
0.67 0.58 3.68
0.50 0.63 3.80
0.67 0.63 3.59
0.75 0.59 3.47
0.75 0.71 3.55
0.63 0.63 3.55
0.67 0.63 3.59
0.67 0.75 3.71
0.50 0.54 3.80
0.54 0.67 3.64
0.58 0.67 3.75
0.50 0.54 3.68
0.46 0.71 3.67
0.54 0.63 3.76
0.59 0.63 3.72
0.59 0.54 3.72
0.59 0.54 3.68
0.50 0.75 3.63
0.54 0.54 3.72
0.54 0.54 3.68
0.50 0.59 3.64
0.54 0.67 3.67
0.54 0.63 3.68
