09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.12 1.08 0.00
0.96 1.79 1.46
2.58 0.88 0.00
2.96 0.04 0.13
0.04 0.13 0.00
0.75 0.33 1.50
0.54 0.17 3.55
1.09 0.25 3.01
0.92 0.17 3.30
1.25 0.25 3.30
1.04 0.29 3.21
0.42 0.84 5.48
0.38 1.17 5.85
0.63 1.38 6.26
0.71 0.75 8.04
0.67 1.38 9.19
0.84 0.79 9.52
0.88 1.25 8.98
1.21 1.04 9.65
0.84 1.38 7.19
0.84 0.79 6.44
0.71 1.34 7.15
0.92 0.96 6.02
0.59 1.30 6.45
0.67 0.88 6.32
0.75 1.34 6.60
0.59 0.84 6.66
0.92 1.09 6.07
0.71 0.75 8.71
0.67 1.34 8.48
0.79 0.92 7.22
0.59 1.42 8.99
0.88 0.79 8.65
0.71 1.38 9.98
1.25 0.88 9.06
0.63 1.34 9.78
0.84 1.00 8.57
0.67 1.17 10.36
0.84 0.88 8.52
0.75 1.34 10.23
0.84 1.25 8.86
0.84 1.00 10.32
0.84 0.96 7.98
0.50 1.17 10.59
0.83 1.29 8.68
0.75 0.96 10.62
0.79 1.25 8.31
0.75 1.09 8.56
0.54 1.21 8.82
0.92 0.88 9.35
0.75 1.29 5.68
1.00 0.83 6.09
0.67 1.29 4.05
0.84 0.79 3.85
0.63 1.34 3.97
0.79 1.09 3.46
0.67 1.05 4.14
0.79 1.29 3.55
0.84 0.75 3.93
0.79 1.42 5.04
0.84 0.75 7.70
0.84 1.29 10.07
0.75 0.92 8.78
0.75 1.21 10.29
0.92 0.75 9.41
0.59 1.25 10.41
1.25 1.13 8.69
0.71 1.71 9.02
0.92 1.05 8.95
0.75 1.59 9.65
1.00 1.04 8.81
0.75 1.59 9.89
0.96 1.09 9.27
0.79 1.30 9.70
0.88 1.13 9.48
0.71 1.17 9.50
0.79 1.38 9.60
0.67 1.21 9.44
0.79 2.09 6.90
1.13 0.42 5.02
1.34 0.79 4.76
1.71 0.17 2.46
1.42 0.84 5.01
1.34 0.75 2.88
1.38 0.21 4.84
1.13 0.79 4.39
1.42 0.21 3.17
1.42 0.79 5.01
1.21 0.63 2.92
1.30 0.21 2.93
1.09 0.71 3.72
1.38 0.17 2.76
1.34 0.84 3.22
1.00 0.84 3.51
1.34 0.25 4.39
0.96 0.75 5.06
1.38 0.17 2.71
1.26 0.75 5.15
0.92 0.75 4.22
1.29 0.25 3.80
1.00 0.84 4.23
2.75 0.38 0.75
3.29 0.08 0.00
