09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.17 1.04 0.00
0.96 1.79 1.46
4.09 0.71 0.13
1.42 0.13 0.00
0.00 0.08 0.00
1.00 0.33 2.76
1.09 0.17 3.09
0.84 0.13 3.34
0.92 0.17 3.34
1.34 0.25 3.51
0.33 0.71 5.01
0.46 1.04 6.05
0.33 0.79 5.18
0.38 0.92 5.14
0.33 0.71 4.73
0.46 0.88 4.51
0.38 0.79 4.13
0.42 1.04 4.30
0.88 0.75 5.35
0.25 0.92 5.43
0.38 0.79 5.22
0.29 0.67 6.03
0.42 0.75 5.27
0.38 0.79 5.22
0.33 0.92 5.30
0.42 0.79 5.84
0.38 0.84 5.06
0.29 0.92 5.22
0.42 0.84 5.93
0.29 0.92 5.22
0.38 0.79 5.18
0.38 0.88 5.26
0.38 0.71 5.94
0.29 0.79 4.97
0.88 0.79 5.69
0.25 0.79 5.60
0.33 1.04 5.26
0.42 0.71 5.30
0.33 0.88 6.02
0.29 0.75 5.31
0.38 0.84 5.22
0.50 0.96 5.34
0.42 0.63 5.65
0.46 0.67 5.26
0.21 0.79 5.27
0.38 0.79 5.94
0.25 0.75 5.35
0.21 0.80 5.32
0.42 0.67 5.65
0.25 0.88 5.56
0.38 0.92 5.18
0.38 0.75 5.18
0.21 0.75 6.11
0.46 0.71 5.27
0.33 0.67 5.23
0.54 0.71 5.80
0.33 0.75 5.35
0.25 0.84 5.48
0.29 0.92 5.10
0.46 0.75 5.92
0.33 0.88 5.26
0.38 0.75 5.23
0.33 0.79 5.64
0.29 0.88 5.26
0.38 0.84 5.26
0.33 0.71 5.23
0.75 0.96 5.98
0.33 0.79 5.35
0.33 0.84 5.22
0.25 0.88 5.68
0.38 0.71 5.56
0.29 0.67 5.23
0.33 0.96 5.43
0.42 0.79 5.43
0.33 0.92 5.25
0.33 0.92 5.26
0.33 0.84 5.93
0.33 0.88 5.47
0.33 0.75 5.27
0.33 0.75 5.60
0.33 0.88 5.47
0.25 0.92 5.27
0.38 0.92 5.38
0.29 0.75 5.94
0.25 0.84 5.27
0.29 0.84 5.22
0.33 0.84 6.05
0.38 0.67 5.36
0.42 0.83 5.26
0.33 1.00 5.63
0.38 0.84 5.47
0.42 0.83 5.05
0.38 0.83 5.42
0.25 0.96 6.06
0.42 0.79 5.26
0.29 0.84 5.30
0.38 0.84 5.76
0.50 0.79 5.63
0.29 1.00 5.30
