5 GB	40 GB	35 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
0.482733	28.2382	15.8374	11.0882	1.51074	0.697127	3.73589	20.2636	
1.19697	40.0074	23.3007	22.3439	3.11255	1.35506	5.4429	40.8813	
1.78931	40.7494	23.8838	22.9173	3.70362	1.82064	5.97785	41.6027	
2.18497	41.3428	24.1469	23.343	4.09339	2.17291	6.38837	41.9624	
2.52128	41.7517	24.4501	23.7542	4.45792	2.49231	6.70631	42.2511	
2.81558	42.0787	24.7317	24.053	4.80651	2.76017	7.04162	42.5421	
3.08433	42.2963	25.0162	24.3409	5.08486	3.01763	7.31402	42.8329	
3.33397	42.5742	25.3442	24.5954	5.97602	3.25938	7.55751	43.1089	
3.55914	42.8768	25.637	24.8582	6.24617	3.47194	7.77955	43.3536	
3.7524	43.1353	25.8684	25.083	6.48121	3.66452	8.04211	43.5776	
3.92803	43.3592	26.1459	25.2756	6.70222	3.85895	8.24539	43.7862	
4.07007	43.56	26.3352	25.462	6.94158	4.01252	8.48551	43.9873	
4.21496	43.7534	26.5958	25.6447	7.17369	4.13677	8.67111	44.1565	
4.34982	43.9356	26.7672	25.808	7.3643	4.27123	8.82678	44.3107	
4.47253	44.0817	26.9105	25.9507	7.59981	4.40289	8.96245	44.4457	
4.59879	44.2197	27.0444	26.0678	7.7497	4.5235	9.07402	44.587	
4.71029	44.355	27.168	26.1904	7.90009	4.63439	9.18892	44.7166	
4.81484	44.4794	27.2881	26.3098	8.04673	4.73435	9.30461	44.8442	
4.92514	44.5995	27.4011	26.4249	8.19556	4.83414	9.42162	44.9649	
5.03143	44.7141	27.5209	26.5389	8.33441	4.93486	9.52788	45.0799	
4.65084	16.5847	11.7862	15.562	6.94024	4.33403	5.89744	24.9257	
4.03089	4.92315	4.4219	4.41272	5.44331	3.77036	4.2862	4.41493	
3.53968	4.2835	3.9333	3.94256	4.9638	3.39612	3.86048	3.80208	
3.23417	3.79454	3.76466	3.61876	4.69345	3.13335	3.54835	3.54056	
2.9853	3.49712	3.55626	3.30752	4.43154	2.90611	3.31953	3.34902	
2.78482	3.26982	3.36463	3.10913	4.19412	2.72499	3.07189	3.15849	
2.6052	3.15428	3.17667	2.91946	4.02601	2.55907	2.90323	2.9711	
2.44569	2.98151	2.93502	2.76243	3.24621	2.40729	2.76066	2.79189	
2.30609	2.76829	2.72741	2.58931	3.0793	2.28298	2.6199	2.64203	
2.20028	2.60346	2.58225	2.45158	2.93623	2.17007	2.44263	2.51399	
2.11232	2.48019	2.38516	2.35033	2.80543	2.06105	2.33029	2.39989	
2.05899	2.37555	2.27787	2.25222	2.653	1.99711	2.17299	2.29289	
2.0027	2.28038	2.09569	2.15841	2.5117	1.9598	2.06944	2.22163	
1.95502	2.18741	2.00635	2.08798	2.41213	1.91294	1.99198	2.16208	
1.92508	2.13806	1.9473	2.0375	2.25956	1.89282	1.93468	2.12295	
1.89342	2.09181	1.8945	2.00801	2.20404	1.85663	1.90266	2.07943	
1.88176	2.0393	1.85055	1.96931	2.1409	1.83313	1.87457	2.04407	
1.86121	2.00509	1.8194	1.9411	2.08506	1.81084	1.84948	2.00494	
1.82771	1.9788	1.79365	1.91773	2.02884	1.78637	1.80903	1.9743	
