60 GB	50 GB	45 GB	
1.60111	1.69215	1.68282	
1.60311	1.69402	1.69508	
1.60354	1.69953	1.70013	
1.60262	1.705	1.69921	
1.60316	1.7108	1.69529	
1.60875	1.7151	1.70521	
1.60627	1.70078	1.70154	
1.60954	1.72055	1.69276	
1.60661	1.7335	1.67508	
1.606	1.72595	1.66717	
1.60273	1.76212	1.66273	
1.59972	1.75883	1.67808	
1.60149	1.77968	1.68448	
1.59317	1.79	1.69245	
1.59025	1.81077	1.70011	
1.58629	1.8065	1.69443	
1.58675	1.80084	1.69051	
1.57773	1.81035	1.69074	
1.57267	1.82954	1.71203	
1.57354	1.83741	1.69533	
1.58382	1.83674	1.68975	
1.58579	1.84331	1.70495	
1.58555	1.84041	1.71088	
1.57974	1.86221	1.70936	
1.58193	1.85346	1.7212	
1.578	1.86201	1.71941	
1.57812	1.87358	1.73369	
1.58844	1.8863	1.73829	
1.60003	1.89199	1.77298	
1.59818	1.91369	1.77981	
1.59965	1.8816	1.77457	
1.60608	1.88091	1.75547	
1.60557	1.87361	1.74812	
1.61365	1.88493	1.74903	
1.61438	1.88915	1.75346	
1.61787	1.89315	1.75238	
1.61686	1.91042	1.77954	
1.62298	1.90823	1.78991	
1.62978	1.89862	1.77116	
1.6408	1.91314	1.76574	
1.63886	1.93898	1.77797	
1.64071	1.93532	1.77902	
1.67648	1.94236	1.77338	
1.68397	1.95246	1.78571	
1.70869	1.96571	1.7776	
1.72031	1.95176	1.76951	
1.72444	1.94225	1.74864	
1.7125	1.91584	1.75038	
1.72349	1.8925	1.72851	
1.73243	1.88276	1.75787	
1.73983	1.89079	1.78088	
1.74509	1.92288	1.78704	
1.75564	1.91054	1.81247	
1.76346	1.89361	1.80408	
1.7664	1.8922	1.78905	
1.76674	1.9224	1.78156	
1.76557	1.9147	1.75005	
1.7805	1.91742	1.74236	
1.78646	1.90989	1.74258	
1.78287	1.89676	1.74796	
1.79957	1.87195	1.74273	
1.81117	1.87042	1.72026	
1.77944	1.864	1.72064	
1.78408	1.82679	1.73332	
1.76003	1.82304	1.73383	
1.74523	1.82729	1.76216	
1.74971	1.83917	1.76297	
1.7738	1.83817	1.76311	
1.78438	1.83636	1.7678	
1.776	1.83067	1.73516	
1.7732	1.84262	1.71595	
1.77848	1.82642	1.72161	
1.76886	1.83632	1.74289	
1.76855	1.83164	1.7575	
1.76623	1.83484	1.76291	
1.77362	1.80569	1.77269	
1.8005	1.7952	1.79524	
1.78653	1.79202	1.79384	
1.77798	1.78965	1.79026	
1.7866	1.78624	1.7932	
1.77986	1.78736	1.79802	
1.76081	1.81098	1.79309	
1.75156	1.82062	1.81198	
1.76446	1.83799	1.78889	
1.76206	1.83322	1.79745	
1.76804	1.85133	1.79977	
1.76581	1.84498	1.80205	
1.76329	1.84684	1.79866	
1.741	1.84696	1.78439	
1.7492	1.85982	1.78084	
1.79712	1.84682	1.79095	
1.8355	1.83916	1.79402	
1.85672	1.82689	1.75568	
1.85029	1.82691	1.74581	
1.86038	1.81263	1.74058	
1.85007	1.81306	1.73409	
1.82444	1.81978	1.71132	
1.81698	1.82053	1.72155	
1.81366	1.81571	1.73728	
1.81121	1.8072	1.73232	
1.80691	1.80561	1.72443	
1.8468	1.78636	1.72499	
1.85354	1.78548	1.69969	
1.83705	1.77921	1.70417	
1.84471	1.77841	1.69131	
1.84191	1.76309	1.65381	
1.8645	1.75679	1.67442	
1.84722	1.76534	1.68602	
1.8418	1.7822	1.68715	
1.84136	1.80062	1.68495	
1.80358	1.8041	1.67279	
1.75183	1.79953	1.66422	
1.75165	1.80063	1.65854	
1.7827	1.80158	1.6595	
1.77469	1.78628	1.66598	
1.78859	1.79455	1.66842	
1.79374	1.79435	1.66803	
1.79538	1.80505	1.65344	
1.79558	1.81371	1.64082	
1.77779	1.82122	1.62971	
1.76696	1.82282	1.6281	
1.73257	1.81659	1.62882	
1.73951	1.8057	1.62866	
1.74633	1.81452	1.62864	
1.74262	1.83285	1.62808	
1.74439	1.83514	1.6325	
1.72128	1.84196	1.61305	
1.71734	1.8554	1.60288	
1.71187	1.83744	1.60595	
1.71154	1.82359	1.61274	
1.71244	1.81252	1.61719	
1.70863	1.81332	1.63754	
1.68983	1.83788	1.64286	
1.65756	1.83587	1.63665	
1.6551	1.84383	1.63782	
1.64283	1.86071	1.63845	
1.64279	1.85191	1.64584	
1.64813	1.83798	1.65759	
1.65959	1.83384	1.66808	
1.67673	1.83204	1.67211	
1.6846	1.83489	1.67357	
1.68072	1.84789	1.69123	
1.6821	1.88111	1.71781	
1.67181	1.8618	1.71519	
1.68702	1.86384	1.72508	
1.69584	1.85378	1.72687	
1.71296	1.87325	1.7209	
1.71888	1.85227	1.71817	
1.72448	1.86249	1.71836	
1.73178	1.85329	1.72786	
1.7231	1.87904	1.737	
1.72988	1.87236	1.73107	
1.7414	1.84606	1.74301	
1.76724	1.8478	1.77364	
1.77481	1.84932	1.79451	
1.82478	1.82751	1.81948	
1.82768	1.83272	1.82025	
1.85914	1.83261	1.82556	
1.84833	1.83408	1.8216	
1.86129	1.85676	1.84128	
1.8636	1.88255	1.85257	
1.87979	1.88256	1.83785	
1.87729	1.87101	1.82671	
1.87766	1.87321	1.8261	
1.87356	1.85916	1.8226	
1.86463	1.87254	1.82397	
1.84589	1.85106	1.82619	
1.84783	1.84475	1.83107	
1.8551	1.83944	1.83614	
1.87246	1.83542	1.82554	
1.89662	1.82026	1.81278	
1.91928	1.85317	1.80458	
1.92959	1.88448	1.82566	
1.90697	1.89399	1.79922	
1.91347	1.88756	1.79894	
1.87851	1.89433	1.77846	
1.87904	1.89833	1.77817	
1.85855	1.908	1.78142	
1.86785	1.90837	1.7749	
1.86353	1.88557	1.76814	
1.87874	1.85925	1.75813	
1.86617	1.85934	1.75659	
1.88383	1.84995	1.73618	
1.88949	1.8569	1.74233	
1.88948	1.85477	1.74712	
1.89533	1.85513	1.74407	
1.89708	1.85696	1.74522	
1.89592	1.86088	1.74715	
1.90294	1.86195	1.75087	
1.88693	1.85643	1.75158	
1.88099	1.84513	1.75019	
1.87437	1.81517	1.73921	
1.88128	1.79152	1.69766	
1.88925	1.78439	1.72892	
1.89111	1.79226	1.70569	
1.88627	1.78222	1.71768	
1.88119	1.78062	1.71944	
1.86848	1.76737	1.70509	
1.86349	1.76247	1.70354	
1.84854	1.75894	1.68622	
1.83306	1.76357	1.68509	
1.83801	1.79706	1.6906	
1.82512	1.7986	1.70153	
1.82293	1.79555	1.69642	
1.82019	1.79417	1.68933	
1.81388	1.79485	1.69067	
1.82106	1.80575	1.68963	
