60 GB	50 GB	45 GB	
203.2	168	193.6	
204.8	161.6	192	
204.8	156.8	187.2	
203.2	152	182.4	
201.6	148.8	179.2	
203.2	144	174.4	
203.2	142.4	169.6	
201.6	140.8	166.4	
198.4	136	161.6	
195.2	132.8	155.2	
190.4	129.6	150.4	
185.6	123.2	145.6	
184	124.8	145.6	
182.4	124.8	142.4	
176	124.8	139.2	
171.2	124.8	136	
166.4	124.8	131.2	
161.6	124.8	126.4	
155.2	123.2	126.4	
153.6	123.2	126.4	
148.8	123.2	124.8	
144	124.8	123.2	
144	123.2	124.8	
139.2	123.2	124.8	
136	123.2	124.8	
131.2	123.2	124.8	
128	124.8	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
124.8	123.2	124.8	
124.8	123.2	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
126.4	121.6	124.8	
126.4	121.6	124.8	
126.4	121.6	124.8	
126.4	123.2	124.8	
124.8	123.2	124.8	
124.8	123.2	126.4	
124.8	123.2	126.4	
124.8	123.2	124.8	
124.8	121.6	124.8	
126.4	121.6	124.8	
126.4	120	124.8	
126.4	120	124.8	
126.4	123.2	123.2	
126.4	123.2	124.8	
124.8	123.2	126.4	
124.8	123.2	126.4	
124.8	123.2	126.4	
124.8	121.6	126.4	
124.8	123.2	126.4	
124.8	123.2	126.4	
124.8	123.2	124.8	
124.8	123.2	124.8	
123.2	123.2	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
124.8	121.6	124.8	
124.8	123.2	124.8	
124.8	124.8	124.8	
124.8	124.8	124.8	
123.2	126.4	124.8	
121.6	124.8	123.2	
121.6	123.2	124.8	
121.6	123.2	123.2	
121.6	123.2	123.2	
121.6	123.2	123.2	
121.6	123.2	123.2	
121.6	124.8	123.2	
121.6	124.8	123.2	
121.6	124.8	123.2	
121.6	123.2	123.2	
121.6	123.2	124.8	
123.2	123.2	124.8	
121.6	124.8	123.2	
121.6	124.8	123.2	
121.6	121.6	123.2	
121.6	123.2	121.6	
121.6	121.6	124.8	
121.6	121.6	124.8	
120	121.6	123.2	
121.6	121.6	123.2	
123.2	123.2	124.8	
123.2	123.2	123.2	
123.2	121.6	124.8	
124.8	123.2	124.8	
124.8	123.2	124.8	
124.8	123.2	123.2	
123.2	123.2	123.2	
123.2	123.2	123.2	
123.2	123.2	123.2	
123.2	123.2	124.8	
123.2	123.2	123.2	
123.2	124.8	123.2	
124.8	124.8	124.8	
123.2	124.8	123.2	
123.2	126.4	124.8	
123.2	124.8	126.4	
123.2	126.4	124.8	
123.2	126.4	124.8	
123.2	124.8	126.4	
123.2	121.6	124.8	
123.2	118.4	124.8	
123.2	115.2	126.4	
123.2	113.6	124.8	
123.2	110.4	123.2	
121.6	107.2	120	
121.6	104	120	
123.2	102.4	116.8	
123.2	99.2	113.6	
123.2	96	112	
123.2	94.4	108.8	
123.2	91.2	107.2	
123.2	88	104	
121.6	84.8	102.4	
123.2	81.6	100.8	
120	80	96	
118.4	78.4	94.4	
115.2	75.2	91.2	
113.6	72	88	
112	72	86.4	
110.4	72	84.8	
108.8	73.6	81.6	
105.6	73.6	80	
104	73.6	78.4	
100.8	72	76.8	
100.8	73.6	78.4	
97.6	73.6	78.4	
96	72	78.4	
92.8	73.6	80	
91.2	75.2	78.4	
88	75.2	80	
86.4	76.8	78.4	
83.2	75.2	78.4	
83.2	75.2	78.4	
81.6	76.8	78.4	
81.6	76.8	80	
80	76.8	80	
81.6	76.8	80	
80	76.8	80	
81.6	76.8	80	
80	76.8	80	
80	75.2	80	
80	76.8	80	
80	76.8	80	
81.6	76.8	80	
80	75.2	80	
81.6	76.8	78.4	
80	76.8	80	
81.6	75.2	76.8	
80	73.6	76.8	
80	75.2	76.8	
78.4	73.6	78.4	
80	73.6	78.4	
78.4	73.6	78.4	
78.4	72	78.4	
78.4	73.6	76.8	
80	72	76.8	
78.4	73.6	76.8	
80	73.6	78.4	
80	72	76.8	
80	72	78.4	
80	73.6	80	
80	72	78.4	
80	73.6	76.8	
76.8	73.6	76.8	
78.4	73.6	75.2	
76.8	73.6	76.8	
76.8	73.6	75.2	
76.8	73.6	76.8	
78.4	75.2	76.8	
78.4	73.6	75.2	
80	73.6	73.6	
78.4	75.2	75.2	
80	75.2	73.6	
78.4	75.2	73.6	
80	75.2	75.2	
78.4	75.2	73.6	
80	73.6	73.6	
