45 GB	40 GB	35 GB	30 GB	
126.4	104	92.8	92.8	
123.2	100.8	92.8	92.8	
123.2	97.6	92.8	92.8	
120	97.6	92.8	92.8	
124.8	99.2	94.4	92.8	
124.8	100.8	94.4	92.8	
129.6	105.6	94.4	92.8	
128	105.6	96	92.8	
128	107.2	94.4	94.4	
129.6	105.6	94.4	94.4	
131.2	107.2	96	94.4	
131.2	110.4	96	94.4	
131.2	108.8	94.4	94.4	
132.8	107.2	94.4	94.4	
134.4	107.2	94.4	94.4	
129.6	108.8	94.4	92.8	
129.6	108.8	96	92.8	
131.2	107.2	96	92.8	
128	107.2	96	92.8	
131.2	105.6	96	92.8	
128	105.6	96	94.4	
128	104	96	94.4	
128	104	96	94.4	
128	102.4	94.4	94.4	
123.2	100.8	94.4	94.4	
121.6	99.2	94.4	92.8	
118.4	96	94.4	92.8	
118.4	96	94.4	92.8	
120	96	94.4	92.8	
120	94.4	94.4	92.8	
120	92.8	92.8	92.8	
116.8	92.8	92.8	92.8	
121.6	92.8	94.4	92.8	
118.4	94.4	94.4	92.8	
120	96	94.4	92.8	
123.2	97.6	94.4	94.4	
120	99.2	94.4	94.4	
118.4	102.4	94.4	94.4	
118.4	100.8	94.4	94.4	
116.8	105.6	94.4	92.8	
116.8	107.2	94.4	92.8	
115.2	107.2	94.4	92.8	
116.8	108.8	94.4	92.8	
118.4	108.8	96	92.8	
121.6	108.8	96	91.2	
121.6	108.8	97.6	92.8	
123.2	108.8	97.6	92.8	
124.8	107.2	96	92.8	
120	107.2	97.6	92.8	
118.4	107.2	96	92.8	
115.2	107.2	96	92.8	
116.8	108.8	96	92.8	
113.6	108.8	96	92.8	
113.6	107.2	96	91.2	
116.8	108.8	94.4	91.2	
123.2	107.2	94.4	91.2	
131.2	107.2	94.4	91.2	
139.2	107.2	94.4	89.6	
140.8	108.8	96	89.6	
136	104	96	91.2	
137.6	102.4	96	91.2	
137.6	107.2	96	91.2	
136	105.6	96	91.2	
136	107.2	96	91.2	
132.8	107.2	96	91.2	
136	108.8	94.4	91.2	
136	107.2	94.4	91.2	
136	112	96	91.2	
139.2	112	92.8	91.2	
139.2	110.4	94.4	91.2	
140.8	113.6	94.4	91.2	
142.4	110.4	94.4	89.6	
144	112	94.4	89.6	
145.6	116.8	94.4	91.2	
145.6	115.2	96	91.2	
144	115.2	96	91.2	
142.4	113.6	96	91.2	
134.4	115.2	96	92.8	
131.2	118.4	94.4	92.8	
134.4	116.8	94.4	92.8	
134.4	120	94.4	92.8	
134.4	116.8	94.4	92.8	
134.4	118.4	94.4	92.8	
134.4	118.4	94.4	91.2	
137.6	118.4	94.4	92.8	
136	115.2	94.4	92.8	
134.4	120	94.4	92.8	
132.8	118.4	94.4	92.8	
132.8	118.4	96	92.8	
134.4	120	96	92.8	
136	118.4	96	92.8	
136	120	94.4	94.4	
137.6	118.4	94.4	94.4	
137.6	115.2	94.4	94.4	
136	115.2	94.4	94.4	
129.6	118.4	94.4	94.4	
126.4	118.4	94.4	92.8	
129.6	115.2	94.4	92.8	
132.8	116.8	94.4	92.8	
131.2	123.2	92.8	92.8	
129.6	126.4	94.4	92.8	
132.8	129.6	94.4	92.8	
139.2	128	96	92.8	
144	128	96	94.4	
148.8	129.6	96	94.4	
148.8	132.8	96	94.4	
150.4	131.2	96	94.4	
152	129.6	96	94.4	
152	129.6	96	94.4	
150.4	129.6	96	94.4	
150.4	131.2	96	92.8	
150.4	129.6	97.6	92.8	
150.4	131.2	96	92.8	
150.4	129.6	96	92.8	
150.4	129.6	96	92.8	
152	129.6	96	92.8	
152	131.2	96	94.4	
150.4	132.8	96	94.4	
152	128	97.6	94.4	
155.2	126.4	97.6	94.4	
158.4	118.4	96	94.4	
156.8	115.2	94.4	94.4	
150.4	116.8	92.8	94.4	
145.6	120	92.8	92.8	
139.2	118.4	91.2	92.8	
140.8	118.4	91.2	92.8	
