60 GB	50 GB	5 GB	45 GB	40 GB	35 GB	30 GB	25 GB	
1.86085	1.66219	1.69848	1.76207	1.77949	1.6766	1.72187	1.65045	
1.87158	1.66008	1.69496	1.76197	1.78163	1.66747	1.72059	1.6457	
1.90589	1.65465	1.67471	1.75583	1.78638	1.67387	1.7209	1.64725	
1.89693	1.65669	1.70066	1.75333	1.78505	1.68716	1.73096	1.65102	
1.90255	1.66288	1.70603	1.75093	1.78448	1.68302	1.73401	1.65228	
1.92646	1.63724	1.68841	1.75193	1.78726	1.68404	1.7458	1.65684	
1.93921	1.6352	1.69274	1.76041	1.78992	1.69015	1.73832	1.65907	
1.90624	1.63409	1.69926	1.77982	1.78877	1.69855	1.73068	1.65792	
1.90554	1.6273	1.7017	1.78825	1.78483	1.70958	1.73084	1.65522	
1.8997	1.62631	1.6986	1.79431	1.79641	1.70669	1.72876	1.65112	
1.89101	1.63223	1.6964	1.78613	1.79865	1.71858	1.72499	1.65125	
1.90524	1.62408	1.69361	1.76802	1.80247	1.72176	1.73362	1.63618	
1.91769	1.62581	1.69912	1.76184	1.79663	1.71951	1.74078	1.6346	
1.93584	1.62155	1.70694	1.7658	1.79288	1.71768	1.73814	1.62998	
1.91333	1.61941	1.71773	1.76536	1.78922	1.70115	1.7286	1.6359	
1.89578	1.61596	1.71442	1.7639	1.78331	1.7055	1.72643	1.63631	
1.86315	1.61039	1.71516	1.75822	1.78319	1.71173	1.72496	1.63441	
1.84198	1.6123	1.70853	1.75581	1.77585	1.71227	1.72282	1.63423	
1.8708	1.61388	1.71207	1.74556	1.7748	1.71144	1.72306	1.6288	
1.88489	1.59097	1.71377	1.7428	1.77182	1.70439	1.74387	1.62586	
1.88683	1.64113	1.72141	1.74018	1.77362	1.69998	1.74685	1.62528	
1.88382	1.65121	1.72744	1.74204	1.77378	1.69664	1.74398	1.62983	
1.87465	1.64752	1.73425	1.76111	1.77743	1.6933	1.73915	1.63249	
1.89816	1.6478	1.72925	1.76293	1.78019	1.68846	1.73585	1.63064	
1.88797	1.64756	1.73366	1.77069	1.77774	1.69466	1.76357	1.62739	
1.86775	1.6451	1.74383	1.76369	1.77812	1.7014	1.75634	1.62412	
1.85935	1.64867	1.74655	1.7603	1.77253	1.71945	1.76757	1.61899	
1.8695	1.64614	1.75214	1.7605	1.77356	1.71746	1.77236	1.61867	
1.86814	1.65398	1.75402	1.75628	1.77048	1.70724	1.77155	1.61829	
1.87937	1.66126	71.1313	1.7514	1.7645	1.70307	1.76632	1.62322	
1.88581	1.65442	71.148	1.75974	1.75603	1.6969	1.75712	1.62755	
1.89476	1.65424	71.1629	1.76777	1.7483	1.70297	1.74883	1.62131	
1.89698	1.67359	71.1723	1.77452	1.75006	1.70459	1.7493	1.61826	
1.88597	1.68404	71.1754	1.767	1.75138	1.70326	1.7522	1.61871	
1.90049	1.68749	71.1781	1.80118	1.74485	1.70853	1.75714	1.60943	
1.93929	1.69451	71.1915	1.81412	1.75467	1.70878	1.75968	1.60753	
1.96678	1.69792	71.1972	1.82033	1.75079	1.70828	1.75905	1.61009	
1.97805	1.69545	71.2059	1.82546	1.75248	1.70835	1.75188	1.61405	
1.97539	1.69149	71.2105	1.82637	1.75224	1.71274	1.75075	1.6173	
1.9548	1.69522	71.2253	1.82879	1.75103	1.73167	1.73344	1.62378	
1.94177	1.63973	71.2199	1.8258	1.7473	1.74476	1.74322	1.62601	
1.9564	1.63055	71.2236	1.81308	1.74726	1.75735	1.74902	1.62017	
1.94095	1.63028	71.2243	1.79928	1.75236	1.763	1.76002	1.61044	
1.94174	1.62766	71.221	1.79604	1.75406	1.76713	1.759	1.61204	
1.93549	1.62668	71.2238	1.79141	1.75264	1.76304	1.73661	1.61631	
1.92778	1.65312	71.2283	1.79872	1.74054	1.76002	1.73406	1.61633	
1.9153	1.65543	71.2274	1.79514	1.74431	1.74403	1.72765	1.62525	
1.90765	1.66184	71.2287	1.78385	1.74644	1.74366	1.73026	1.62531	
1.91467	1.6593	71.2467	1.78341	1.74853	1.74683	1.7315	1.63042	
1.91967	1.65227	1.87003	1.79401	1.75121	1.74981	1.73752	1.62354	
1.93978	1.65808	1.86607	1.80306	1.75553	1.75761	1.77738	1.61681	
1.92353	1.68895	1.88908	1.79517	1.75331	1.75255	1.78378	1.62351	
1.90955	1.67359	1.88132	1.79359	1.74828	1.75068	1.77682	1.63253	
1.97142	1.66179	1.87441	1.80078	1.74536	1.74999	1.77256	1.63842	
1.98608	1.65333	1.8985	1.76999	1.75306	1.75596	1.76912	1.64493	
1.95791	1.64787	1.88961	1.75978	1.74974	1.76188	1.75944	1.65106	
1.93248	1.64342	1.88525	1.751	1.75405	1.76499	1.75419	1.65084	
1.93415	1.64126	1.88606	1.74346	1.75145	1.76399	1.75276	1.65657	
1.94469	1.64501	1.88113	1.74738	1.79574	1.7947	1.74627	1.65983	
1.91735	1.64592	1.8678	1.74134	1.81397	1.78658	1.74231	1.652	
1.92754	1.65409	1.87691	1.74291	1.8149	1.78169	1.72935	1.65454	
1.90891	1.66046	1.88008	1.74233	1.81541	1.78481	1.71666	1.65471	
1.94904	1.66077	1.88081	1.73512	1.80686	1.78464	1.70395	1.67157	
1.92714	1.65465	1.87305	1.73831	1.80345	1.77782	1.70088	1.67965	
1.93702	1.64784	1.87323	1.74259	1.8087	1.77793	1.68522	1.69449	
1.94737	1.62041	1.86962	1.79572	1.81768	1.77515	1.68292	1.68987	
1.95824	1.61813	1.87653	1.80446	1.85015	1.77854	1.67811	1.70762	
1.97073	1.62317	1.87356	1.80664	1.83831	1.78203	1.67231	1.69956	
1.99269	1.6202	1.86225	1.80271	1.83675	1.7821	1.66851	1.69794	
1.98375	1.62203	1.86378	1.78943	1.82861	1.78099	1.65616	1.70063	
