Scanning log file /mnt/log/log/log.17
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 0.0
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 0.0
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 0.0
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.496
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.496
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.496
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.496
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.496
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.119520
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.240400
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.360576
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
[7f91511f4700] /home/csauer/hp/zero/src/cmd/loginspect/propstats.cpp (109) min_rec_lsn: 17.435248
