# dirty_pages redo_length page_writes xct_end updates
42175 2899 159 1499.95 22342
42355 2908 0 1499.85 21207
42355 2917 172 1491.4 20092
42378 2926 161 1491.95 20365
42422 2935 162 1503.65 22396
42465 2944 145 1505 21978
42509 2954 164 1507.25 22513
42504 2963 182 1504.3 20361
42530 2972 168 1498.25 21643
42558 2981 164 1492.75 20796
42571 2990 167 1484.55 20274
42610 2999 154 1489.05 21398
42636 3008 153 1489.3 21095
42670 3018 171 1493.85 23047
42682 3027 177 1502.85 21280
42856 3036 0 1505.35 20812
42911 3046 155 1517.65 23731
42951 3055 161 1521.15 23241
42940 3065 181 1518.15 21013
42966 3074 182 1522.9 21632
42998 3084 163 1523.8 22361
43022 3093 176 1530.2 23099
43022 3102 177 1529.85 20350
43030 3112 169 1531.65 21849
43041 3121 168 1523.9 20170
43066 3129 152 1521.85 21638
43104 3139 157 1525.5 22944
43121 3148 173 1533.25 22265
43299 3159 0 1540.5 21923
43317 3168 174 1546.25 22166
43332 3177 176 1550.9 22499
43343 3187 175 1555.75 22744
43357 3196 172 1559.6 21506
43367 3206 168 1550.15 20944
43386 3215 166 1550.7 21731
43388 3223 167 1553.05 20758
43428 3233 163 1546.25 22199
43442 3241 165 1537.85 20713
43437 3251 175 1537.6 20269
43475 3260 153 1538.7 21878
43496 3269 168 1538.3 22504
43513 3279 165 1534.4 21934
43677 3287 0 1534.45 20503
43695 3297 170 1532.55 21241
43707 3306 157 1537.75 21651
43735 3316 161 1545 23437
43740 3324 164 1537.3 19860
43755 3333 176 1532.6 21258
43776 3342 150 1527.9 20409
43800 3352 161 1524.15 21089
43808 3360 169 1514.85 19958
43838 3369 152 1507.3 20643
43874 3378 159 1510.1 22861
43890 3387 169 1511.75 21153
43902 3397 180 1511.55 22336
43924 3407 162 1514.85 22745
43928 3416 170 1516.4 21242
44103 3425 0 1521.25 22346
44122 3434 161 1521.65 21025
44126 3444 166 1521.25 21135
44149 3453 163 1516.35 20404
44165 3462 161 1512.65 21586
44165 3470 172 1511.9 20844
44171 3479 159 1510.65 19968
44202 3489 150 1509.6 21696
44227 3498 168 1508.75 22429
44235 3507 184 1513.05 22053
44247 3516 163 1507.15 20004
44266 3524 166 1503.5 19130
44293 3534 156 1507.25 22362
44475 3544 0 1519.15 22248
44469 3553 172 1523.6 21159
44463 3561 177 1516.8 20692
44480 3571 161 1519.85 22475
44503 3580 160 1518.95 21625
44474 3588 172 1503.85 18311
44512 3598 152 1506.85 22321
44535 3607 155 1509.15 22201
44529 3616 176 1509.2 20536
44541 3625 160 1508.9 21158
44553 3635 176 1515.2 22421
44567 3644 171 1520.2 22125
44572 3653 174 1524.6 20918
44583 3662 157 1524.6 19902
44742 3670 0 1521.45 20536
44773 3681 162 1521.25 22937
44789 3689 158 1519.8 20367
44762 3697 179 1517.9 19231
44767 3706 163 1514.75 19549
44794 3715 146 1514.35 22134
44800 3725 159 1506.1 20516
44817 3733 162 1503.5 21501
44832 3743 167 1506.65 21710
44847 3752 170 1504.85 21391
44850 3760 174 1499.8 20831
44871 3770 154 1509.65 21165
44876 3779 176 1505.2 21601
45051 3789 0 1501 22108
45044 3797 172 1496.75 20140
45063 3806 170 1498.05 21763
45084 3816 161 1498.15 22694
45102 3826 173 1494.2 21862
45088 3834 180 1491.85 20317
45096 3843 166 1492 20814
45123 3852 159 1495.8 21873
45146 3862 164 1493.5 23094
45142 3872 192 1496.35 21616
45163 3881 164 1510.5 22128
45162 3890 180 1520.5 21540
45183 3900 164 1516.55 22165
45171 3908 176 1514.1 20031
45342 3918 0 1516.8 21305
45359 3927 153 1515.8 20900
45381 3936 168 1514.95 21506
45396 3945 159 1519.05 21219
45409 3954 175 1522.15 21669
45421 3964 169 1524.35 22195
45436 3973 176 1527.6 21753
45460 3983 170 1537 22790
45455 3992 181 1532.05 20905
45451 4000 169 1526.55 20497
45471 4011 167 1532.05 22493
45479 4020 178 1536.5 22062
45477 4029 173 1535.95 20153
45498 4037 160 1533.4 20591
45493 4046 181 1531.2 21556
45675 4055 0 1529.25 21074
45682 4065 165 1521.3 20651
45683 4074 170 1513.95 20086
45698 4083 161 1518.2 22483
45738 4092 160 1527.3 22582
45740 4102 175 1528 21760
45736 4112 177 1527.65 21178
45746 4120 171 1530 21187
45778 4130 151 1533.1 22594
45778 4139 183 1532.55 20604
45771 4147 168 1522.85 19058
45801 4157 155 1518.25 21477
45799 4165 174 1509.55 20179
45811 4174 172 1511.85 20628
45816 4182 160 1503.45 19446
45957 4189 0 1481.45 16975
46004 4200 158 1487.7 24020
46052 4210 141 1496.7 23095
46039 4219 205 1495.4 20807
46049 4227 180 1491.95 20679
46055 4236 165 1492.2 21443
46080 4247 182 1496.1 22399
46086 4256 172 1502 21277
46087 4265 185 1497.45 20881
46121 4274 172 1500.35 22571
46112 4283 198 1497.9 21046
46130 4292 184 1500.45 21968
46140 4303 179 1504.1 23127
46139 4313 195 1503.2 22424
46135 4321 179 1500.95 20928
46299 4331 0 1513.3 22470
46331 4340 167 1516.65 21772
46334 4350 170 1520.35 20476
46346 4358 187 1520.5 20884
46355 4368 179 1530.4 21529
46394 4377 172 1547.6 22498
46417 4387 176 1545.8 23172
46426 4398 201 1549.25 23866
46428 4407 188 1554.95 22103
46444 4417 191 1562 22647
46476 4427 189 1568.9 24096
46458 4436 212 1563.25 21179
46448 4446 178 1562.9 21063
46476 4455 166 1568.4 23073
46636 4464 0 1556.05 19286
46632 4472 191 1550.05 19457
46657 4481 168 1549.75 22551
46692 4492 169 1553.05 23416
46706 4502 199 1556.95 22934
46714 4512 192 1565.05 23688
46721 4521 202 1562.15 21536
46717 4530 188 1559.75 21491
46730 4539 194 1560.35 21734
46749 4549 174 1559.2 20557
46789 4558 179 1564.2 22564
46801 4568 207 1565.85 23028
46787 4578 218 1560.95 22390
46807 4587 192 1559.05 22643
46991 4597 0 1556.2 21843
47011 4607 193 1554.3 22554
47008 4616 187 1546.65 20618
47011 4625 201 1549.6 21301
47019 4633 166 1546.55 20290
47044 4644 181 1545.15 22201
47060 4652 165 1549.4 20547
47059 4661 194 1557.35 20951
47038 4669 177 1538.8 17175
47077 4678 162 1535.8 22604
47092 4688 180 1533.05 22053
47097 4697 185 1529.05 21451
47102 4706 178 1522.2 19567
47129 4715 169 1521.15 21239
47289 4723 0 1519.85 20273
47321 4733 176 1523.6 21906
47354 4743 160 1518.75 21617
47374 4752 192 1516.2 21247
47381 4761 187 1513.3 21784
47379 4769 201 1506.35 20554
47421 4779 176 1509.75 23217
47459 4790 183 1509.5 22202
47438 4798 211 1508.2 20488
47451 4807 190 1507.85 21120
47471 4816 180 1512.65 21647
47483 4826 190 1515 22467
47494 4836 188 1517.5 21704
47503 4846 193 1519.45 22325
47722 4855 0 1538.65 22833
47724 4864 193 1535.95 21778
47714 4874 209 1532.75 22181
47739 4884 194 1534.8 22611
47743 4892 184 1531.85 18917
47749 4901 191 1531.75 21527
47769 4910 178 1531.9 20752
47799 4919 172 1530.65 21440
47803 4929 194 1526.3 20082
47838 4938 171 1526.15 21413
47848 4946 184 1522.15 20092
47847 4955 186 1515.85 19150
47863 4963 175 1510.05 20442
47884 4974 183 1512.05 22104
48079 4983 0 1514.15 21369
48070 4991 186 1507 19308
48071 4999 188 1498.35 19938
48111 5009 167 1494.55 22377
48161 5019 177 1504.15 23884
48155 5029 211 1499.85 20740
48145 5037 199 1492.5 20629
48168 5046 187 1490.3 21805
48195 5055 178 1489.6 20473
48207 5064 193 1484.6 21346
48224 5075 182 1494 21943
48242 5084 195 1494.3 21617
48252 5093 192 1496.85 21267
48281 5102 186 1501.7 22530
48477 5112 0 1509.65 22772
48503 5123 198 1514.95 23529
48506 5132 194 1517.25 21061
48471 5139 203 1505.8 16245
48478 5147 180 1499.7 19515
