5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
?	313.6	?	?	?	344	
?	310.4	?	?	?	344	
?	315.2	?	?	?	344	
?	315.2	?	?	?	344	
?	313.6	?	?	?	344	
?	308.8	?	?	?	345.6	
?	307.2	?	?	?	345.6	
?	305.6	?	?	?	344	
?	305.6	?	?	?	344	
?	305.6	?	?	?	345.6	
?	307.2	?	?	?	345.6	
?	304	?	?	?	344	
?	305.6	?	?	?	344	
?	302.4	?	?	?	344	
?	302.4	?	?	?	345.6	
?	300.8	?	?	?	345.6	
?	300.8	?	?	?	344	
?	296	?	?	?	344	
?	296	?	?	?	345.6	
?	296	?	?	?	345.6	
?	294.4	?	?	?	345.6	
?	297.6	?	?	?	347.2	
?	296	?	?	?	347.2	
?	297.6	?	?	?	345.6	
?	297.6	?	?	?	345.6	
?	302.4	?	?	?	345.6	
?	304	?	?	?	345.6	
?	305.6	?	?	?	345.6	
?	304	?	?	?	345.6	
?	305.6	?	?	?	345.6	
?	305.6	?	?	?	345.6	
?	308.8	?	?	?	347.2	
?	307.2	?	?	?	345.6	
?	307.2	?	?	?	345.6	
?	307.2	?	?	?	345.6	
?	308.8	?	?	?	345.6	
?	308.8	?	?	?	347.2	
?	313.6	?	?	?	347.2	
?	313.6	?	?	?	344	
?	313.6	?	?	?	332.8	
?	315.2	?	?	?	321.6	
?	316.8	?	?	?	312	
?	318.4	?	?	?	305.6	
?	318.4	?	?	?	299.2	
?	313.6	?	?	?	289.6	
?	312	?	?	?	281.6	
?	312	?	?	?	272	
?	312	?	?	?	264	
?	313.6	?	?	?	256	
?	312	
?	312	
?	310.4	
?	310.4	
?	310.4	
?	308.8	
?	305.6	
?	305.6	
?	304	
?	304	
?	304	
?	297.6	
?	288	
?	281.6	
?	268.8	
?	265.6	
?	259.2	
?	251.2	
?	244.8	
?	236.8	
?	227.2	
?	217.6	
?	211.2	
?	204.8	
