5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
254.4	203.2	868.8	862.4	838.4	201.6	
256	198.4	868.8	865.6	827.2	201.6	
259.2	198.4	868.8	865.6	828.8	203.2	
259.2	195.2	868.8	865.6	825.6	201.6	
268.8	201.6	870.4	867.2	824	201.6	
270.4	200	870.4	865.6	827.2	201.6	
267.2	196.8	872	878.4	828.8	201.6	
267.2	200	872	880	832	200	
264	204.8	873.6	881.6	832	200	
260.8	198.4	873.6	876.8	836.8	203.2	
259.2	203.2	873.6	872	836.8	206.4	
259.2	209.6	875.2	867.2	840	209.6	
259.2	204.8	875.2	867.2	841.6	212.8	
260.8	206.4	873.6	875.2	844.8	204.8	
260.8	211.2	872	876.8	840	206.4	
260.8	209.6	872	868.8	838.4	208	
259.2	212.8	872	868.8	838.4	212.8	
260.8	217.6	872	870.4	828.8	216	
260.8	212.8	872	870.4	828.8	214.4	
259.2	211.2	875.2	864	824	214.4	
259.2	211.2	876.8	859.2	830.4	212.8	
257.6	222.4	875.2	860.8	843.2	214.4	
254.4	225.6	878.4	856	838.4	214.4	
252.8	233.6	880	843.2	836.8	217.6	
244.8	233.6	876.8	828.8	836.8	222.4	
241.6	236.8	875.2	835.2	836.8	224	
244.8	238.4	872	822.4	838.4	222.4	
244.8	248	872	816	832	222.4	
243.2	246.4	870.4	809.6	838.4	225.6	
243.2	252.8	875.2	806.4	840	232	
243.2	248	872	811.2	832	230.4	
244.8	251.2	868.8	817.6	828.8	228.8	
243.2	260.8	859.2	817.6	824	227.2	
243.2	262.4	856	820.8	816	230.4	
243.2	260.8	852.8	819.2	814.4	232	
243.2	260.8	848	820.8	798.4	228.8	
244.8	246.4	843.2	819.2	795.2	220.8	
243.2	243.2	841.6	817.6	801.6	217.6	
243.2	254.4	843.2	816	795.2	225.6	
243.2	256	838.4	812.8	798.4	232	
243.2	252.8	833.6	814.4	792	230.4	
243.2	256	830.4	798.4	790.4	230.4	
244.8	252.8	828.8	803.2	790.4	228.8	
243.2	251.2	824	814.4	790.4	227.2	
243.2	249.6	817.6	825.6	788.8	222.4	
243.2	249.6	814.4	820.8	785.6	220.8	
243.2	246.4	812.8	820.8	780.8	222.4	
243.2	248	809.6	822.4	784	219.2	
243.2	238.4	808	828.8	771.2	216	
243.2	240	800	836.8	772.8	206.4	
243.2	243.2	806.4	830.4	774.4	204.8	
243.2	243.2	808	820.8	777.6	204.8	
243.2	230.4	817.6	822.4	780.8	198.4	
243.2	238.4	820.8	811.2	790.4	196.8	
241.6	243.2	824	808	792	200	
244.8	246.4	828.8	809.6	804.8	204.8	
243.2	254.4	830.4	808	808	208	
244.8	259.2	828.8	808	811.2	212.8	
243.2	244.8	827.2	814.4	817.6	203.2	
246.4	254.4	828.8	824	812.8	208	
244.8	254.4	824	828.8	811.2	216	
249.6	251.2	825.6	836.8	806.4	216	
251.2	249.6	819.2	832	806.4	216	
252.8	256	817.6	828.8	804.8	219.2	
251.2	254.4	820.8	824	803.2	219.2	
252.8	254.4	820.8	801.6	804.8	219.2	
252.8	256	817.6	803.2	793.6	219.2	
252.8	244.8	824	806.4	795.2	217.6	
256	249.6	820.8	808	796.8	216	
259.2	241.6	825.6	808	795.2	217.6	
259.2	244.8	820.8	816	790.4	219.2	
257.6	243.2	822.4	825.6	790.4	219.2	
260.8	254.4	819.2	820.8	788.8	217.6	
262.4	251.2	816	822.4	784	217.6	
276.8	251.2	814.4	822.4	784	212.8	
272	254.4	814.4	825.6	782.4	204.8	
275.2	254.4	812.8	827.2	780.8	201.6	
273.6	249.6	812.8	828.8	779.2	195.2	
275.2	259.2	812.8	825.6	777.6	198.4	
272	244.8	812.8	825.6	784	188.8	
272	248	825.6	819.2	785.6	180.8	
268.8	249.6	828.8	820.8	790.4	180.8	
265.6	252.8	832	824	793.6	180.8	
265.6	240	832	827.2	793.6	179.2	
265.6	233.6	840	832	798.4	179.2	
265.6	233.6	835.2	856	795.2	177.6	
264	236.8	838.4	852.8	803.2	177.6	
264	235.2	833.6	843.2	806.4	179.2	
262.4	240	836.8	841.6	808	180.8	
260.8	249.6	838.4	838.4	809.6	179.2	
260.8	243.2	843.2	836.8	816	179.2	
260.8	236.8	843.2	827.2	814.4	180.8	
259.2	230.4	846.4	828.8	812.8	184	
256	228.8	846.4	833.6	816	184	
243.2	217.6	846.4	835.2	812.8	185.6	
246.4	214.4	844.8	828.8	816	185.6	
243.2	216	849.6	828.8	816	185.6	
244.8	220.8	852.8	824	816	190.4	
243.2	212.8	852.8	820.8	817.6	188.8	
246.4	220.8	854.4	814.4	819.2	187.2	
244.8	220.8	849.6	816	816	187.2	
246.4	219.2	844.8	819.2	812.8	187.2	
244.8	224	846.4	812.8	808	188.8	
244.8	222.4	848	811.2	809.6	188.8	
244.8	230.4	843.2	809.6	804.8	187.2	
244.8	238.4	849.6	803.2	804.8	187.2	
244.8	240	849.6	801.6	808	187.2	
244.8	244.8	851.2	804.8	803.2	187.2	
244.8	235.2	854.4	800	801.6	187.2	
243.2	230.4	851.2	798.4	796.8	188.8	
249.6	240	848	801.6	795.2	188.8	
248	246.4	846.4	804.8	795.2	185.6	
248	249.6	846.4	803.2	796.8	184	
248	248	846.4	792	792	182.4	
249.6	248	846.4	787.2	792	180.8	
246.4	243.2	843.2	792	790.4	180.8	
249.6	240	843.2	793.6	790.4	180.8	
248	236.8	840	792	787.2	176	
249.6	251.2	840	795.2	785.6	177.6	
246.4	248	838.4	800	780.8	179.2	
249.6	249.6	841.6	800	784	180.8	
249.6	241.6	846.4	800	784	179.2	
251.2	240	848	804.8	785.6	179.2	
249.6	244.8	851.2	808	784	177.6	
251.2	248	849.6	809.6	785.6	177.6	
249.6	246.4	849.6	812.8	788.8	179.2	
252.8	251.2	851.2	819.2	788.8	179.2	
251.2	254.4	848	825.6	790.4	179.2	
249.6	256	846.4	820.8	788.8	180.8	
251.2	262.4	848	830.4	790.4	179.2	
248	259.2	844.8	827.2	790.4	177.6	
252.8	257.6	846.4	835.2	792	179.2	
251.2	254.4	848	836.8	795.2	177.6	
254.4	262.4	851.2	849.6	795.2	179.2	
249.6	265.6	852.8	856	801.6	179.2	
252.8	272	857.6	857.6	806.4	182.4	
249.6	272	859.2	857.6	808	180.8	
251.2	270.4	859.2	862.4	811.2	182.4	
251.2	259.2	859.2	860.8	812.8	180.8	
252.8	254.4	856	862.4	819.2	179.2	
249.6	257.6	849.6	854.4	819.2	179.2	
248	264	844.8	851.2	816	179.2	
260.8	259.2	841.6	851.2	812.8	179.2	
264	260.8	840	849.6	812.8	180.8	
262.4	256	841.6	843.2	811.2	179.2	
264	243.2	843.2	844.8	809.6	182.4	
262.4	240	844.8	843.2	804.8	180.8	
264	244.8	840	846.4	804.8	180.8	
264	243.2	840	856	808	180.8	
264	232	836.8	852.8	809.6	180.8	
259.2	236.8	841.6	848	808	180.8	
257.6	238.4	841.6	835.2	804.8	179.2	
259.2	238.4	840	819.2	801.6	192	
256	232	841.6	801.6	808	190.4	
264	232	843.2	792	806.4	190.4	
262.4	230.4	844.8	793.6	804.8	188.8	
265.6	233.6	843.2	801.6	806.4	188.8	
265.6	244.8	846.4	804.8	809.6	190.4	
270.4	246.4	846.4	808	811.2	190.4	
268.8	246.4	852.8	811.2	811.2	192	
272	246.4	851.2	824	812.8	193.6	
270.4	246.4	852.8	830.4	820.8	204.8	
256	252.8	852.8	833.6	827.2	203.2	
254.4	260.8	849.6	838.4	830.4	200	
256	264	848	848	830.4	206.4	
254.4	264	848	854.4	832	204.8	
260.8	259.2	846.4	856	838.4	204.8	
286.4	246.4	854.4	849.6	840	204.8	
318.4	254.4	854.4	851.2	848	204.8	
