59 GB	59 GB	59 GB	59 GB	
240	241.6	241.6	241.6	
241.6	241.6	241.6	241.6	
240	243.2	241.6	241.6	
241.6	241.6	243.2	241.6	
240	243.2	241.6	243.2	
240	241.6	243.2	241.6	
238.4	241.6	241.6	243.2	
240	241.6	241.6	241.6	
238.4	241.6	241.6	241.6	
240	241.6	241.6	241.6	
238.4	241.6	243.2	241.6	
240	243.2	241.6	241.6	
238.4	241.6	243.2	241.6	
240	243.2	241.6	243.2	
238.4	241.6	241.6	241.6	
238.4	241.6	241.6	241.6	
238.4	241.6	241.6	241.6	
238.4	241.6	243.2	241.6	
238.4	241.6	241.6	241.6	
238.4	241.6	243.2	241.6	
238.4	243.2	241.6	241.6	
238.4	241.6	243.2	241.6	
238.4	240	241.6	241.6	
238.4	241.6	241.6	241.6	
238.4	240	241.6	240	
240	241.6	241.6	240	
240	240	241.6	240	
240	241.6	241.6	240	
240	240	241.6	240	
240	241.6	241.6	240	
240	240	240	238.4	
238.4	240	241.6	240	
240	240	240	238.4	
238.4	240	241.6	236.8	
240	240	240	238.4	
238.4	240	241.6	236.8	
240	240	240	238.4	
238.4	240	240	236.8	
238.4	240	240	238.4	
238.4	240	240	236.8	
238.4	238.4	240	238.4	
238.4	240	240	236.8	
238.4	240	240	238.4	
238.4	240	240	236.8	
238.4	240	240	238.4	
238.4	240	240	238.4	
238.4	240	240	236.8	
238.4	240	240	238.4	
238.4	240	240	236.8	
238.4	240	240	238.4	
238.4	240	240	238.4	
238.4	240	238.4	238.4	
238.4	240	240	238.4	
238.4	240	238.4	240	
238.4	240	240	238.4	
238.4	240	238.4	238.4	
236.8	240	240	238.4	
238.4	240	238.4	238.4	
238.4	240	238.4	238.4	
238.4	240	238.4	238.4	
238.4	240	238.4	238.4	
238.4	240	238.4	238.4	
238.4	240	238.4	238.4	
238.4	240	236.8	238.4	
238.4	240	238.4	238.4	
238.4	240	236.8	238.4	
238.4	240	238.4	238.4	
236.8	238.4	236.8	238.4	
238.4	240	238.4	238.4	
236.8	238.4	236.8	238.4	
238.4	240	236.8	238.4	
238.4	238.4	238.4	238.4	
238.4	238.4	236.8	238.4	
238.4	238.4	238.4	238.4	
238.4	238.4	236.8	238.4	
238.4	238.4	236.8	240	
238.4	238.4	236.8	238.4	
238.4	236.8	236.8	238.4	
238.4	238.4	238.4	238.4	
236.8	236.8	236.8	238.4	
238.4	236.8	238.4	238.4	
236.8	236.8	236.8	238.4	
238.4	236.8	236.8	238.4	
236.8	236.8	238.4	238.4	
238.4	236.8	236.8	238.4	
236.8	235.2	238.4	238.4	
236.8	236.8	236.8	240	
238.4	236.8	238.4	238.4	
236.8	236.8	236.8	238.4	
238.4	236.8	236.8	238.4	
236.8	235.2	238.4	238.4	
236.8	236.8	236.8	238.4	
236.8	236.8	238.4	238.4	
236.8	236.8	236.8	238.4	
235.2	236.8	236.8	238.4	
236.8	235.2	238.4	238.4	
236.8	236.8	236.8	238.4	
236.8	236.8	238.4	238.4	
236.8	235.2	236.8	238.4	
238.4	236.8	238.4	238.4	
236.8	236.8	236.8	236.8	
236.8	236.8	236.8	238.4	
236.8	236.8	238.4	236.8	
236.8	235.2	236.8	238.4	
236.8	236.8	238.4	236.8	
236.8	236.8	236.8	236.8	
236.8	236.8	238.4	236.8	
236.8	236.8	236.8	236.8	
236.8	236.8	236.8	238.4	
236.8	236.8	238.4	236.8	
236.8	236.8	236.8	238.4	
238.4	236.8	238.4	236.8	
236.8	236.8	236.8	236.8	
238.4	236.8	238.4	236.8	
238.4	236.8	238.4	236.8	
236.8	236.8	236.8	236.8	
238.4	236.8	238.4	236.8	
236.8	236.8	236.8	236.8	
