09/07/2015 (24 CPU)
  
%usr %sys %iowait
3.08 1.12 0.00
1.08 1.63 1.46
2.63 0.88 0.13
2.84 0.04 0.04
0.00 0.08 0.00
0.46 0.33 1.51
0.84 0.33 3.13
1.00 0.17 3.22
0.88 0.08 3.26
1.34 0.13 3.30
0.50 0.67 4.72
0.50 0.71 5.39
0.50 0.63 7.19
0.59 0.54 6.73
0.54 0.59 6.94
0.58 0.67 7.06
0.59 0.59 7.11
0.79 0.79 7.48
0.75 0.67 6.39
0.54 0.79 6.73
0.46 0.50 7.04
0.63 0.63 6.56
0.54 0.67 6.40
0.63 0.71 6.56
0.38 0.63 7.19
0.58 0.75 7.26
0.54 0.79 7.35
0.54 0.71 7.10
0.63 0.71 6.59
0.58 0.79 6.51
0.50 0.75 6.73
0.42 0.75 6.52
0.46 0.71 6.69
0.63 0.84 6.76
0.96 0.75 7.43
0.46 0.67 7.07
0.67 0.63 7.14
0.58 0.79 6.56
0.46 0.83 7.22
0.50 0.71 5.60
0.50 0.71 5.22
0.50 0.88 6.68
0.54 0.71 6.39
0.42 0.63 6.90
0.50 0.79 6.68
0.54 0.67 6.77
0.46 0.79 7.35
0.54 0.79 7.10
0.46 0.88 7.22
0.46 0.71 6.90
0.50 0.67 6.64
0.50 0.88 6.89
0.54 0.75 7.10
0.50 0.71 6.22
0.42 0.88 7.35
0.50 0.92 7.01
0.42 1.13 6.63
0.50 1.00 6.72
0.50 0.75 6.45
0.46 0.84 6.52
0.46 1.13 6.64
0.46 0.79 6.61
0.46 0.79 6.73
0.42 0.75 6.70
0.50 0.88 4.47
0.50 0.88 4.52
0.88 0.88 4.18
0.58 1.00 4.84
0.50 1.04 3.67
0.42 0.88 3.72
0.38 0.96 3.38
0.42 0.96 3.59
0.42 0.88 3.72
0.46 0.92 3.81
0.63 0.83 3.55
0.42 1.00 4.72
0.50 0.84 6.31
0.38 0.88 6.61
0.42 0.84 6.69
0.50 0.84 6.56
0.50 0.92 6.77
0.50 0.96 6.68
0.42 0.92 6.31
0.42 0.92 4.76
0.54 0.88 5.34
0.54 0.84 6.15
0.42 0.96 6.35
0.46 0.88 5.89
0.54 0.84 6.14
0.46 1.00 6.34
0.46 0.88 6.27
0.54 0.88 5.68
0.50 1.09 4.63
0.42 0.96 4.22
0.42 0.96 5.59
0.50 1.00 6.30
0.46 1.08 5.84
0.46 1.00 6.43
0.42 0.79 6.78
0.50 0.92 6.60
0.67 0.84 6.60
0.50 0.96 6.52
0.50 1.00 6.39
0.54 1.04 5.92
0.54 0.88 6.68
0.42 1.04 6.51
0.50 0.92 6.47
0.50 0.96 6.09
0.42 1.13 5.21
0.46 0.88 4.72
0.38 1.09 5.05
0.50 1.13 5.71
0.50 0.88 5.98
0.46 1.00 5.31
0.50 1.17 6.05
0.46 1.04 4.85
0.50 0.84 4.89
0.46 1.08 5.72
0.54 1.04 5.68
0.54 0.92 6.48
0.42 0.96 5.90
0.38 1.13 5.14
0.46 0.96 6.45
0.46 1.21 6.42
0.50 0.92 6.44
0.59 0.92 5.43
0.58 1.00 5.18
0.54 0.84 4.73
0.46 0.92 4.98
0.42 1.04 6.31
1.04 1.04 6.31
0.46 1.00 6.59
0.46 0.75 6.94
0.50 0.88 5.89
0.46 0.75 6.19
0.42 1.09 6.94
0.50 0.88 6.06
0.63 0.88 6.42
0.63 0.63 4.81
0.92 0.84 4.10
1.29 0.58 3.38
1.17 0.42 3.80
1.04 0.67 4.05
0.96 0.46 3.60
0.96 0.38 3.89
0.79 0.67 4.17
0.96 0.59 4.14
1.09 0.42 3.47
0.83 0.58 4.17
0.88 0.59 4.14
0.96 0.42 3.51
0.84 0.58 4.26
0.75 0.75 4.14
1.04 0.54 3.55
0.83 0.50 4.26
0.79 0.75 4.26
1.00 0.58 3.67
0.83 0.54 4.21
0.84 0.54 4.22
1.04 0.46 3.42
0.79 0.58 4.22
0.92 0.54 4.01
0.92 0.42 3.68
0.75 0.54 4.22
1.00 0.46 3.55
0.67 0.63 4.22
1.04 0.54 3.51
0.67 0.58 4.34
0.88 0.67 4.01
0.84 0.50 3.26
1.29 0.67 2.55
4.04 0.08 0.00
0.71 0.17 0.12
