09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.17 0.63 3.97
0.25 0.54 4.14
0.17 0.63 4.02
0.25 0.75 4.34
0.21 0.75 4.09
0.25 0.59 4.01
0.25 0.67 4.22
0.13 0.50 3.98
0.21 0.71 4.18
0.25 0.63 3.97
0.25 0.75 4.18
0.21 0.59 4.18
0.17 0.54 3.93
0.29 0.54 4.35
0.17 0.67 3.97
0.25 0.75 4.22
0.21 0.59 4.02
0.21 0.46 4.10
0.17 0.75 4.30
0.25 0.75 3.96
0.17 0.67 4.22
0.25 0.67 4.01
0.17 0.75 4.18
0.33 0.54 4.26
0.17 0.83 3.96
0.21 0.75 4.18
0.21 0.67 3.97
0.25 0.71 4.18
0.21 0.67 3.89
0.21 0.63 3.80
0.17 0.67 4.14
0.17 0.67 4.01
0.25 0.50 4.18
0.25 0.67 4.05
0.21 0.71 4.18
0.21 0.63 4.22
0.33 0.83 3.92
0.21 0.71 4.22
0.21 0.75 3.97
0.33 0.58 4.18
0.33 0.67 3.97
0.17 0.75 4.18
0.33 0.63 4.22
0.13 0.75 4.10
0.25 0.67 4.17
0.21 0.63 3.97
0.25 0.71 4.18
0.25 0.79 4.17
0.21 0.63 4.14
0.29 0.79 4.17
0.25 0.71 3.92
0.33 0.67 4.17
0.29 0.71 3.97
0.29 0.54 4.35
0.33 0.63 4.14
0.25 0.71 4.01
0.17 0.63 4.18
0.21 0.67 4.06
0.25 0.63 4.27
0.21 0.71 4.22
0.13 0.50 3.94
0.21 0.75 4.22
0.21 0.71 3.92
0.29 0.50 4.35
0.25 0.75 3.97
0.29 0.59 4.22
0.17 0.63 4.18
0.21 0.75 3.96
0.25 0.67 4.18
0.25 0.59 3.97
0.21 0.63 4.18
0.29 0.63 4.22
0.08 0.71 3.97
0.17 0.59 4.31
0.17 0.67 4.01
0.17 0.63 4.18
0.25 0.63 3.76
0.29 0.67 3.88
0.25 0.50 4.23
0.21 0.59 3.97
0.21 0.67 4.18
0.29 0.54 3.97
0.33 0.71 4.17
0.25 0.79 4.34
0.17 0.71 4.01
0.29 0.63 4.13
0.21 0.63 4.01
0.13 0.79 4.18
0.17 0.71 4.26
0.21 0.79 4.05
0.29 0.71 4.13
0.21 0.67 3.97
0.25 0.71 4.18
0.17 0.63 4.10
0.25 0.63 4.22
0.21 0.71 4.18
0.21 0.71 4.01
0.29 0.75 4.13
0.25 0.63 4.14
0.25 0.63 4.14
0.25 0.54 4.06
0.21 0.71 4.18
0.13 0.79 4.18
0.21 0.67 4.18
0.25 0.54 4.14
0.33 0.58 4.01
0.25 0.75 4.17
0.25 0.79 4.17
0.25 0.83 4.05
0.17 0.75 4.18
