09/06/2015 (24 CPU)
  
%usr %sys %iowait
0.63 3.80 0.88
3.13 1.17 0.00
0.71 2.59 1.38
0.75 4.01 0.13
3.75 0.42 0.04
1.84 1.38 0.13
0.08 0.21 0.00
0.96 0.38 2.38
1.13 0.29 3.05
0.96 0.17 3.60
0.92 0.17 3.30
1.30 0.33 3.31
0.25 1.00 3.67
0.25 0.71 3.64
0.25 0.88 3.59
0.21 0.59 3.57
0.33 0.75 3.63
0.29 0.63 3.56
0.25 0.67 3.64
0.58 1.04 3.67
0.67 1.21 3.55
0.17 0.67 3.64
0.13 0.67 3.64
0.17 0.96 3.55
0.29 0.50 3.73
0.21 0.83 3.59
0.21 0.67 3.64
0.17 0.96 3.63
0.17 0.59 3.56
0.29 0.75 3.68
0.29 0.75 3.55
0.25 0.84 3.59
0.25 0.83 3.63
0.33 0.79 3.63
0.33 1.00 3.75
0.21 0.84 3.64
1.08 1.79 3.63
0.25 0.79 3.72
0.21 0.71 3.73
0.29 0.79 3.84
0.25 0.75 3.76
0.38 0.67 3.71
0.29 0.54 3.72
0.29 0.67 3.68
0.17 0.71 3.76
0.25 0.50 3.64
0.33 0.67 3.68
0.17 0.63 3.72
0.25 0.59 3.55
0.25 0.71 3.68
0.17 0.67 3.67
0.29 0.67 3.68
0.21 0.63 3.68
0.29 0.50 3.68
0.25 0.63 3.80
0.17 0.67 3.68
0.38 0.54 3.72
0.17 0.71 3.60
0.21 0.75 3.67
0.21 0.46 3.77
0.25 0.63 3.72
0.25 0.75 3.60
0.25 0.59 3.56
0.25 0.92 3.55
0.25 0.79 3.68
0.29 0.50 3.60
0.21 0.67 3.64
0.21 0.71 3.60
1.04 1.50 3.59
0.38 0.59 3.81
0.33 0.63 3.67
0.17 0.84 3.72
0.13 0.54 3.68
0.29 0.59 3.64
0.33 0.67 3.80
0.21 0.50 3.68
0.21 0.59 3.64
0.25 0.67 3.72
0.25 0.59 3.68
0.29 0.67 3.80
0.29 0.75 3.67
0.21 0.75 3.60
0.42 0.79 3.38
0.25 0.79 3.51
0.21 0.75 3.77
0.21 0.63 3.72
0.25 0.71 3.64
0.13 0.83 3.71
0.29 0.59 3.64
0.33 0.83 3.67
0.25 0.63 3.72
0.25 0.59 3.64
0.38 0.50 3.51
0.29 0.71 3.63
0.25 0.83 3.63
0.25 0.67 3.55
0.25 0.92 3.46
0.25 0.71 3.89
0.25 0.67 3.55
