09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.42 3.83 0.00
3.33 0.96 0.00
0.21 2.50 1.46
0.04 4.17 0.12
4.46 0.25 0.00
1.17 0.17 0.00
0.00 0.21 0.00
1.09 0.33 2.92
1.05 0.08 3.14
0.92 0.17 3.30
0.84 0.13 3.30
1.21 0.38 3.47
0.17 0.50 3.93
0.25 0.67 3.97
0.25 0.54 4.02
0.25 0.63 3.72
0.13 0.58 3.80
0.13 0.54 3.85
0.17 0.46 3.93
0.67 0.42 3.72
0.29 0.75 3.88
0.25 0.42 3.72
0.08 0.75 3.93
0.13 0.71 3.89
0.17 0.79 3.97
0.25 0.42 3.98
0.25 0.58 3.80
0.17 0.50 3.85
0.17 0.46 3.85
0.21 0.58 3.84
0.17 0.46 3.81
0.17 0.50 3.76
0.08 0.54 3.93
0.17 0.54 3.93
0.13 0.63 3.93
0.21 0.54 3.93
0.63 0.50 3.89
0.21 0.63 3.81
0.29 0.46 4.06
0.13 0.71 3.68
0.17 0.50 3.80
0.17 0.75 3.71
0.21 0.75 3.76
0.25 0.38 3.97
0.21 0.63 3.80
0.25 0.38 3.89
0.33 0.58 3.88
0.21 0.71 4.01
0.21 0.59 3.97
0.33 0.71 3.92
0.17 0.67 3.80
0.25 0.63 3.80
0.17 0.46 3.76
0.33 0.46 3.97
0.13 0.63 3.80
0.29 0.58 3.88
0.17 0.59 3.80
0.17 0.50 3.89
0.33 0.59 3.97
0.25 0.59 4.06
0.17 0.83 3.92
0.17 0.54 3.76
0.17 0.59 3.93
0.17 0.54 3.88
0.13 0.59 3.80
0.21 0.67 3.80
0.29 0.58 3.84
0.25 0.42 3.81
0.63 0.59 3.97
0.33 0.58 3.88
0.17 0.59 3.93
0.33 0.63 3.92
0.17 0.54 3.93
0.21 0.54 4.13
0.21 0.67 3.80
0.25 0.50 3.80
0.13 0.50 3.89
0.21 0.58 3.80
0.25 0.54 4.05
0.17 0.54 3.76
0.04 0.59 3.89
0.13 0.59 3.89
0.17 0.83 3.84
0.08 0.67 3.93
0.25 0.71 3.88
0.25 0.46 3.97
0.29 0.54 3.84
0.17 0.50 3.89
0.21 0.54 3.96
0.13 0.54 3.84
0.17 0.46 3.89
0.25 0.71 3.75
0.29 0.58 3.88
0.25 0.63 3.93
0.17 0.67 3.89
0.29 0.38 3.85
0.21 0.58 3.93
0.33 0.38 3.93
0.17 0.63 3.92
