60 GB	50 GB	5 GB	45 GB	40 GB	35 GB	30 GB	25 GB	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	1.6	3.2	1.6	0	1.6	0	1.6	
3.2	4.8	9.6	6.4	3.2	6.4	3.2	6.4	
8	9.6	16	11.2	8	9.6	8	11.2	
12.8	12.8	24	16	12.8	14.4	12.8	14.4	
17.6	17.6	30.4	19.2	17.6	19.2	16	17.6	
20.8	22.4	36.8	24	22.4	24	20.8	22.4	
25.6	27.2	44.8	28.8	27.2	28.8	25.6	27.2	
30.4	30.4	51.2	33.6	30.4	32	30.4	32	
35.2	35.2	59.2	38.4	35.2	36.8	35.2	36.8	
40	40	65.6	43.2	40	41.6	40	41.6	
44.8	44.8	73.6	48	44.8	46.4	43.2	44.8	
49.6	49.6	80	51.2	48	51.2	48	49.6	
54.4	54.4	86.4	56	52.8	54.4	52.8	54.4	
57.6	57.6	92.8	60.8	57.6	59.2	57.6	59.2	
62.4	62.4	99.2	65.6	60.8	64	62.4	64	
67.2	67.2	105.6	70.4	65.6	68.8	67.2	68.8	
72	72	110.4	75.2	70.4	73.6	70.4	73.6	
76.8	76.8	115.2	78.4	75.2	76.8	75.2	78.4	
81.6	80	121.6	83.2	80	81.6	80	81.6	
86.4	84.8	128	88	84.8	86.4	84.8	86.4	
91.2	88	131.2	91.2	88	89.6	89.6	89.6	
92.8	89.6	131.2	91.2	89.6	89.6	89.6	89.6	
92.8	89.6	132.8	91.2	89.6	89.6	89.6	89.6	
92.8	89.6	132.8	89.6	89.6	89.6	89.6	91.2	
92.8	89.6	132.8	91.2	89.6	89.6	91.2	92.8	
92.8	88	134.4	91.2	89.6	89.6	91.2	91.2	
92.8	88	132.8	91.2	89.6	89.6	91.2	91.2	
92.8	88	134.4	91.2	91.2	91.2	89.6	91.2	
92.8	88	132.8	91.2	89.6	89.6	89.6	91.2	
92.8	86.4	132.8	89.6	89.6	89.6	89.6	91.2	
92.8	86.4	132.8	89.6	89.6	89.6	91.2	92.8	
92.8	86.4	132.8	91.2	91.2	89.6	91.2	92.8	
92.8	86.4	134.4	91.2	91.2	91.2	91.2	91.2	
94.4	88	134.4	91.2	91.2	89.6	91.2	91.2	
94.4	86.4	136	89.6	91.2	89.6	89.6	91.2	
94.4	86.4	137.6	89.6	91.2	89.6	89.6	91.2	
94.4	86.4	139.2	89.6	91.2	89.6	91.2	91.2	
92.8	86.4	140.8	91.2	91.2	91.2	91.2	91.2	
92.8	86.4	140.8	91.2	91.2	89.6	91.2	91.2	
92.8	86.4	140.8	91.2	91.2	89.6	89.6	91.2	
92.8	86.4	140.8	89.6	92.8	89.6	89.6	91.2	
92.8	86.4	142.4	89.6	91.2	89.6	91.2	91.2	
91.2	84.8	140.8	89.6	91.2	91.2	91.2	91.2	
91.2	86.4	140.8	91.2	91.2	89.6	91.2	91.2	
91.2	86.4	142.4	91.2	91.2	89.6	91.2	91.2	
92.8	88	140.8	89.6	91.2	89.6	89.6	92.8	
92.8	86.4	142.4	89.6	91.2	89.6	89.6	91.2	
92.8	88	140.8	89.6	89.6	89.6	91.2	91.2	
91.2	88	142.4	89.6	91.2	89.6	91.2	91.2	
91.2	89.6	142.4	91.2	91.2	89.6	91.2	91.2	
91.2	88	142.4	91.2	91.2	89.6	89.6	91.2	
91.2	88	142.4	89.6	91.2	89.6	89.6	91.2	
91.2	88	140.8	89.6	91.2	88	89.6	92.8	
91.2	88	140.8	89.6	89.6	89.6	89.6	92.8	
91.2	88	139.2	91.2	91.2	89.6	91.2	91.2	
91.2	88	139.2	91.2	91.2	89.6	89.6	91.2	
91.2	88	139.2	91.2	91.2	89.6	89.6	91.2	
92.8	88	140.8	91.2	91.2	88	89.6	91.2	
91.2	88	140.8	89.6	91.2	89.6	89.6	92.8	
91.2	88	142.4	89.6	89.6	89.6	91.2	92.8	
91.2	88	142.4	91.2	89.6	89.6	91.2	91.2	
91.2	88	140.8	91.2	91.2	89.6	89.6	91.2	
92.8	89.6	140.8	91.2	91.2	89.6	89.6	91.2	
92.8	88	139.2	91.2	91.2	89.6	89.6	91.2	
92.8	88	139.2	89.6	91.2	89.6	89.6	91.2	
92.8	88	139.2	91.2	91.2	89.6	91.2	91.2	
92.8	89.6	137.6	91.2	89.6	89.6	89.6	91.2	
92.8	89.6	139.2	91.2	91.2	89.6	89.6	91.2	
94.4	88	137.6	91.2	91.2	89.6	89.6	91.2	
94.4	88	139.2	89.6	91.2	89.6	89.6	91.2	
92.8	89.6	137.6	89.6	91.2	89.6	91.2	91.2	
92.8	89.6	137.6	91.2	91.2	89.6	89.6	91.2	
92.8	89.6	137.6	91.2	91.2	91.2	89.6	91.2	
92.8	89.6	137.6	89.6	91.2	91.2	89.6	89.6	
92.8	89.6	137.6	89.6	91.2	89.6	89.6	91.2	
92.8	89.6	136	89.6	91.2	89.6	91.2	91.2	
92.8	89.6	136	89.6	91.2	89.6	89.6	91.2	
92.8	89.6	134.4	89.6	91.2	91.2	89.6	91.2	
94.4	89.6	136	89.6	91.2	91.2	89.6	91.2	
94.4	89.6	134.4	89.6	91.2	91.2	89.6	89.6	
94.4	89.6	136	89.6	91.2	89.6	89.6	91.2	
94.4	89.6	136	89.6	91.2	88	91.2	91.2	
92.8	88	136	89.6	91.2	88	89.6	91.2	
92.8	89.6	137.6	89.6	91.2	89.6	89.6	91.2	
92.8	89.6	136	89.6	91.2	89.6	89.6	91.2	
92.8	89.6	137.6	89.6	91.2	89.6	89.6	91.2	
92.8	88	136	89.6	91.2	88	91.2	91.2	
92.8	88	136	89.6	91.2	88	89.6	91.2	
92.8	89.6	136	89.6	91.2	89.6	89.6	91.2	
92.8	89.6	136	89.6	91.2	89.6	89.6	91.2	
94.4	88	136	89.6	91.2	89.6	89.6	91.2	
94.4	88	134.4	89.6	91.2	89.6	91.2	89.6	
94.4	88	136	89.6	91.2	88	89.6	89.6	
92.8	88	136	91.2	91.2	86.4	89.6	91.2	
92.8	88	136	91.2	91.2	88	89.6	91.2	
92.8	88	136	89.6	91.2	88	89.6	91.2	
92.8	88	136	89.6	91.2	88	91.2	91.2	
92.8	88	137.6	89.6	91.2	86.4	89.6	89.6	
92.8	88	134.4	91.2	91.2	86.4	89.6	89.6	
92.8	88	136	91.2	92.8	86.4	89.6	91.2	
92.8	88	134.4	91.2	92.8	88	89.6	91.2	
91.2	88	136	91.2	91.2	89.6	89.6	91.2	
92.8	89.6	136	89.6	91.2	88	91.2	91.2	
92.8	88	132.8	89.6	91.2	88	91.2	89.6	
92.8	88	134.4	91.2	91.2	88	89.6	89.6	
92.8	88	132.8	91.2	91.2	88	89.6	89.6	
92.8	89.6	136	91.2	92.8	89.6	89.6	91.2	
92.8	88	134.4	91.2	91.2	89.6	91.2	91.2	
92.8	88	134.4	91.2	91.2	88	91.2	91.2	
92.8	88	134.4	91.2	91.2	88	89.6	89.6	
92.8	89.6	134.4	91.2	91.2	88	89.6	89.6	
91.2	88	137.6	91.2	91.2	88	89.6	91.2	
91.2	88	136	91.2	91.2	89.6	91.2	91.2	
92.8	88	137.6	91.2	92.8	91.2	91.2	91.2	
92.8	89.6	136	89.6	91.2	89.6	91.2	91.2	
92.8	88	137.6	91.2	91.2	89.6	89.6	89.6	
92.8	88	139.2	91.2	91.2	89.6	89.6	89.6	
92.8	88	137.6	91.2	91.2	91.2	91.2	91.2	
92.8	89.6	139.2	91.2	91.2	91.2	91.2	91.2	
92.8	88	137.6	91.2	89.6	89.6	91.2	91.2	
91.2	88	139.2	89.6	88	89.6	91.2	91.2	
92.8	88	137.6	89.6	89.6	89.6	89.6	89.6	
92.8	88	137.6	91.2	89.6	91.2	89.6	89.6	
92.8	88	140.8	91.2	89.6	91.2	89.6	91.2	
92.8	88	139.2	91.2	89.6	91.2	91.2	91.2	
92.8	88	140.8	89.6	88	89.6	91.2	91.2	
92.8	88	139.2	89.6	88	89.6	89.6	91.2	
92.8	88	139.2	89.6	89.6	89.6	89.6	89.6	
92.8	88	140.8	89.6	89.6	91.2	89.6	89.6	
92.8	88	139.2	91.2	89.6	91.2	91.2	91.2	
92.8	88	140.8	91.2	89.6	89.6	89.6	91.2	
94.4	88	137.6	91.2	89.6	89.6	89.6	91.2	
92.8	88	139.2	89.6	89.6	89.6	89.6	91.2	
92.8	88	137.6	89.6	88	89.6	89.6	89.6	
92.8	88	140.8	91.2	89.6	89.6	89.6	89.6	
