5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
1.59197	1.71106	1.7836	1.70379	1.77358	1.63244	
1.58117	1.70571	1.78355	1.71034	1.7759	1.62935	
1.57812	1.70569	1.78568	1.71739	1.77836	1.6224	
1.57354	1.69635	1.78346	1.70977	1.7783	1.62082	
1.57149	1.70046	1.78235	1.70362	1.78468	1.62237	
1.57676	1.69339	1.78506	1.69457	1.78096	1.62149	
1.58664	1.68762	1.79531	1.68364	1.78624	1.61243	
1.59615	1.68749	1.78987	1.67664	1.78397	1.61277	
1.60395	1.68812	1.79132	1.67495	1.7835	1.61116	
1.6057	1.689	1.79336	1.67972	1.7798	1.60594	
1.61452	1.68409	1.7902	1.67707	1.77865	1.604	
1.62201	1.67229	1.78454	1.66808	1.78491	1.60274	
1.63397	1.66773	1.7894	1.65934	1.78117	1.60306	
1.63574	1.66578	1.79058	1.64493	1.77695	1.60022	
1.65402	1.6592	1.79064	1.62286	1.77236	1.59664	
1.66737	1.65422	1.7839	1.60909	1.76246	1.59878	
1.67641	1.64367	1.77977	1.59875	1.7559	1.59769	
1.67962	1.63465	1.7809	1.59073	1.7559	1.59363	
1.68039	1.63389	1.78312	1.58523	1.7574	1.59755	
1.68446	1.62573	1.77996	1.58981	1.76341	1.60513	
1.6902	1.62023	1.77882	1.59178	1.76143	1.60468	
1.70293	1.60988	1.77739	1.58939	1.75829	1.60333	
1.719	1.60063	1.77212	1.58546	1.75545	1.60512	
1.73388	1.60194	1.77317	1.58364	1.75005	1.60533	
1.74115	1.59088	1.77472	1.57999	1.74952	1.60479	
1.74743	1.59377	1.76775	1.57698	1.7489	1.60631	
1.7509	1.59141	1.74952	1.57478	1.7409	1.60423	
1.75273	1.58821	1.74508	1.58223	1.74298	1.60671	
1.75545	1.57685	1.73933	1.58323	1.74184	1.61341	
1.75723	1.57318	1.73823	1.5757	1.74029	1.617	
1.7539	1.56868	1.73938	1.57277	1.74099	1.61749	
1.75617	1.5682	1.7399	1.56675	1.73012	1.61969	
1.7512	1.56505	1.73394	1.56238	1.73383	1.61515	
1.75074	1.56757	1.73553	1.565	1.73298	1.60545	
1.74051	1.56259	1.73324	1.56505	1.72925	1.59877	
1.7344	1.55585	1.73862	1.56989	1.7247	1.59749	
1.73775	1.55655	1.73076	1.5739	1.72425	1.59886	
1.73603	1.55649	1.73088	1.57041	1.71687	1.59408	
1.74011	1.55184	1.72443	1.56621	1.71241	1.58728	
1.74538	1.54536	1.72037	1.56088	1.71639	1.57844	
1.74779	1.54647	1.71862	1.55863	1.71507	1.57259	
1.74452	1.55563	1.7194	1.55805	1.71786	1.5702	
1.73937	1.56205	1.73227	1.56013	1.71295	1.57546	
1.73618	1.56233	1.73402	1.56013	1.71584	1.57591	
1.744	1.56687	1.73466	1.564	1.70866	1.57591	
1.75188	1.5576	1.74253	1.57267	1.70713	1.58082	
1.75256	1.55715	1.75444	1.57432	1.71133	1.58318	
1.74942	1.55427	1.75822	1.5685	1.71108	1.5839	
