45 GB	40 GB	35 GB	30 GB	
1.58705	1.94436	1.93173	1.80058	
1.59107	1.95427	1.91487	1.83063	
1.59866	1.95677	1.92149	1.84883	
1.60346	1.95473	1.90711	1.84969	
1.60852	1.95775	1.92244	1.88086	
1.62165	1.95748	1.92006	1.90608	
1.62405	1.96142	1.92245	1.91529	
1.6156	1.95992	1.92519	1.95124	
1.61849	1.95449	1.92005	1.94198	
1.63293	1.96081	1.92367	1.92387	
1.64626	1.94061	1.92407	1.90798	
1.6455	1.95096	1.88062	1.88788	
1.64217	1.93188	1.87489	1.90021	
1.64017	1.9419	1.89356	1.89861	
1.64214	1.92626	1.8923	1.89586	
1.64106	1.90539	1.89134	1.8889	
1.64021	1.91183	1.89356	1.90528	
1.64111	1.9039	1.91338	1.90442	
1.64319	1.90463	1.90936	1.90808	
1.62603	1.87745	1.90777	1.89435	
1.61913	1.86584	1.85402	1.91727	
1.61717	1.86792	1.85545	1.90692	
1.61841	1.88007	1.84549	1.8801	
1.62141	1.87957	1.86285	1.87914	
1.62903	1.87454	1.85654	1.84728	
1.6193	1.85723	1.86485	1.83043	
1.6174	1.84192	1.85679	1.84992	
1.61635	1.83754	1.86526	1.81118	
1.6135	1.84579	1.8739	1.80183	
1.59612	1.85925	1.88288	1.80388	
1.58209	1.86984	1.8854	1.81647	
1.58962	1.83367	1.90037	1.80414	
1.59946	1.82905	1.91231	1.77154	
1.60876	1.83579	1.88764	1.79469	
1.60672	1.85385	1.8889	1.78977	
1.60502	1.8575	1.88509	1.78789	
1.60477	1.86797	1.88001	1.76385	
1.60429	1.87435	1.88496	1.76035	
1.59942	1.88104	1.92361	1.77542	
1.60421	1.87513	1.94115	1.77384	
1.60859	1.87088	1.93706	1.75714	
1.60815	1.85353	1.93786	1.75068	
1.60031	1.82664	1.95564	1.75769	
1.58964	1.82099	1.93764	1.7841	
1.57632	1.82575	1.94165	1.79955	
1.57193	1.83277	1.93113	1.80414	
1.57264	1.85864	1.90981	1.79941	
1.60803	1.85417	1.90055	1.82365	
1.60468	1.88024	1.91208	1.82734	
1.60496	1.87297	1.90091	1.85994	
1.60144	1.86676	1.89854	1.86836	
1.59643	1.88369	1.90237	1.8891	
1.59544	1.8923	1.90037	1.89217	
1.59849	1.89797	1.9175	1.87532	
1.60199	1.89308	1.92058	1.87877	
1.60962	1.88881	1.91867	1.87242	
1.61017	1.86311	1.91662	1.86912	
1.61445	1.83883	1.90402	1.88694	
1.61599	1.84474	1.87023	1.86844	
1.61672	1.85114	1.87512	1.87174	
1.61815	1.85635	1.88926	1.87697	
1.61965	1.85241	1.88673	1.90535	
1.61911	1.85513	1.8653	1.90043	
1.62275	1.85779	1.85934	1.90813	
1.62381	1.90466	1.84442	1.88977	
1.63441	1.89631	1.84119	1.8789	
1.6506	1.89824	1.84115	1.88109	
1.62909	1.88574	1.84945	1.85643	
1.639	1.85946	1.86058	1.85808	
1.6408	1.83583	1.86523	1.8275	
1.64456	1.84569	1.88175	1.81657	
1.64357	1.83561	1.87368	1.79789	
1.64319	1.85022	1.87425	1.79674	
1.6323	1.82973	1.8569	1.78995	
1.62483	1.81829	1.8506	1.78369	
1.61995	1.83811	1.8691	1.79517	
1.62545	1.84814	1.86661	1.78986	
1.62015	1.84926	1.85822	1.79342	
1.61832	1.83357	1.87978	1.78773	
1.61656	1.84827	1.87243	1.78023	
1.61625	1.87503	1.85547	1.76695	
1.61049	1.87755	1.85973	1.73292	
1.62734	1.87447	1.86875	1.72406	
1.63857	1.88788	1.87223	1.69429	
1.6468	1.83859	1.88447	1.69138	
1.64981	1.84801	1.88572	1.71275	
1.64306	1.82864	1.88573	1.70706	
1.62999	1.84942	1.86702	1.71786	
1.62567	1.8425	1.84109	1.72708	
1.62483	1.84709	1.87954	1.72772	
1.62541	1.83606	1.86959	1.72145	
1.63714	1.85646	1.87338	1.7275	
1.64381	1.86479	1.88417	1.73682	
1.65456	1.87203	1.89029	1.74278	
1.66435	1.87821	1.89071	1.74792	
1.66187	1.86537	1.88176	1.73809	
1.66307	1.86362	1.88452	1.7628	
1.66718	1.86187	1.88678	1.74759	
1.66627	1.86429	1.86634	1.80541	
1.66644	1.85767	1.84402	1.81364	
1.66728	1.8213	1.8836	1.83883	
1.69553	1.83998	1.87893	1.86935	
1.68176	1.83241	1.87882	1.87739	
1.67128	1.81646	1.8815	1.89057	
1.65902	1.83662	1.89495	1.89079	
1.64298	1.83193	1.90025	1.90534	
1.63005	1.82563	1.90398	1.90478	
1.62919	1.80803	1.89971	1.91351	
1.62844	1.80086	1.88565	1.9057	
1.63135	1.80041	1.84721	1.91094	
1.63054	1.80815	1.84088	1.91226	
1.61598	1.80693	1.88495	1.90131	
1.60478	1.81442	1.86957	1.89347	
1.59505	1.81305	1.87827	1.89133	
1.58659	1.80639	1.87333	1.89992	
1.58215	1.8197	1.8657	1.90942	
1.57717	1.82979	1.862	1.90967	
1.58429	1.84911	1.85988	1.90237	
1.58534	1.84555	1.86235	1.86448	
1.5849	1.84299	1.86095	1.8759	
1.58103	1.85114	1.86854	1.85473	
1.55499	1.84021	1.88724	1.83461	
1.55201	1.86185	1.89256	1.84508	
1.55487	1.90044	1.898	1.82968	
1.56915	1.87761	1.87762	1.83591	
1.57992	1.8789	1.87184	1.84336	
1.5905	1.88687	1.87611	1.83396	
1.59413	1.87651	1.87411	1.83034	
1.58977	1.8849	1.87417	1.83381	
1.58422	1.88417	1.88189	1.82925	
1.5853	1.90274	1.91322	1.83979	
1.58711	1.88664	1.86382	1.868	
1.59506	1.86418	1.86891	1.8657	
1.60984	1.8605	1.86957	1.91649	
1.61053	1.87048	1.88798	1.91327	
1.61597	1.88219	1.88017	1.9182	
1.62585	1.87552	1.87626	1.91368	
1.61888	1.86548	1.88025	1.91176	
1.61748	1.87763	1.88078	1.91291	
1.61463	1.87301	1.88024	1.90193	
1.61656	1.87028	1.84137	1.90256	
1.64749	1.88296	1.82375	1.89507	
1.64557	1.87509	1.82032	1.89418	
1.63954	1.86304	1.81252	1.92452	
1.63504	1.88904	1.84589	1.91703	
1.62911	1.87879	1.85396	1.92805	
1.62935	1.8809	1.84445	1.92525	
1.63441	1.90462	1.87574	1.93971	
1.64737	1.89684	1.87714	1.9393	
1.65675	1.92064	1.87128	1.94871	
1.66308	1.9049	1.84411	1.93702	
1.67065	1.92579	1.8559	1.90748	
1.67513	1.90976	1.9049	1.90648	
1.67208	1.91098	1.91241	1.85455	
1.67835	1.9001	1.91081	1.84091	
1.68588	1.90242	1.94932	1.81858	
1.68661	1.91455	1.95324	1.8079	
1.69329	1.90797	1.95265	1.81756	
1.70453	1.88831	1.95081	1.8093	
1.71612	1.90881	1.94742	1.82767	
1.71994	1.90909	1.94759	1.83195	
1.70571	1.8866	1.94901	1.82512	
1.71556	1.88232	1.94813	1.81201	
1.72827	1.86427	1.95088	1.77924	
1.72927	1.84499	1.94111	1.81226	
1.74216	1.84323	1.96273	1.78687	
1.74345	1.83248	1.9622	1.80206	
1.75102	1.83779	1.95676	1.77419	
1.74868	1.84416	1.988	1.77321	
1.75214	1.83532	1.99243	1.75996	
1.7562	1.82942	1.97432	1.75421	
1.75454	1.80582	1.95917	1.75566	
1.74874	1.81176	1.94234	1.77575	
1.74369	1.80159	1.93246	1.7717	
1.74585	1.80965	1.92242	1.76884	
1.74274	1.78765	1.90262	1.76768	
1.7444	1.76847	1.93506	1.78918	
1.74072	1.77744	1.94984	1.78862	
1.74231	1.79284	1.95198	1.77876	
1.74038	1.80859	1.95327	1.75263	
1.74541	1.80902	1.95433	1.74877	
1.73875	1.8138	1.95492	1.75562	
1.74179	1.82139	1.95671	1.7618	
1.73361	1.81864	1.96521	1.76401	
1.72914	1.82055	1.95951	1.7384	
1.71697	1.83908	1.95617	1.72372	
1.71493	1.85247	1.98318	1.70535	
1.71403	1.826	1.98538	1.72044	
1.71701	1.82395	1.95925	1.72764	
1.75112	1.80602	1.95256	1.744	
1.75148	1.79773	1.97385	1.77569	
1.75273	1.79539	1.98206	1.79008	
1.75598	1.7984	1.94553	1.79733	
1.76325	1.81997	1.94444	1.8118	
1.76767	1.81607	1.94244	1.81191	
1.77211	1.82789	1.92807	1.83514	
1.76825	1.82751	1.92875	1.81634	
1.77818	1.82691	1.9247	1.82394	
1.77929	1.81894	1.93861	1.82878	
1.78246	1.77579	1.94358	1.83652	
1.78905	1.77315	1.93101	1.83205	
1.77977	1.76024	1.93362	1.83252	
1.79997	1.75262	1.9228	1.82467	
1.80525	1.74541	1.91442	1.81901	
1.80626	1.72903	1.89479	1.8085	
1.81448	1.73518	1.87053	1.79452	
1.81105	1.76166	1.84272	1.82089	
1.80649	1.76804	1.83325	1.82298	
1.80439	1.77147	1.84638	1.81628	
1.76206	1.78542	1.84535	1.80281	
1.75097	1.80507	1.83878	1.79766	
1.74343	1.81371	1.84366	1.77861	
1.73286	1.80993	1.84742	1.7758	
1.72195	1.78153	1.84687	1.77166	
1.71352	1.78295	1.87056	1.7744	
1.70406	1.76916	1.88346	1.75429	
1.69514	1.7616	1.85674	1.74971	
1.67771	1.77511	1.87841	1.74487	
1.66548	1.77519	1.87184	1.7408	
1.65488	1.78235	1.86856	1.73134	
1.64161	1.77849	1.8862	1.73357	
1.64337	1.80551	1.89366	1.73324	
1.61467	1.80847	1.90782	1.75564	
1.60645	1.81292	1.90775	1.75669	
1.59595	1.81258	1.91516	1.7681	
1.58366	1.78093	1.91189	1.77802	
1.57732	1.74768	1.93263	1.74943	
